NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
175,11,6.8,11,13.6,12.6,11,6.4,7.8,4.6,8,3.6,9.6,4.4,7.8,3.2,2.2,3,10,3,2,3.2
176,11.4,7.6,11.2,16.2,11.6,12,6,8.4,3.8,7.8,6.2,7,4,8.4,3,3.8,3.4,10,4.6,2,3.6
177,12.8,5.2,13.4,15,12.8,9.8,6.2,8.8,3,9,4,8,4,7,4,2.2,4.4,11,4.8,2.2,2.8
178,11.2,6.8,10.2,15,10.4,12.6,7.6,7,4.2,6.4,4,7.4,5,8.2,4.2,2.6,3.8,11,3,2.6,4.4
179,11.6,6.6,8,13,13.4,11,6.8,7,4.2,6,2,9,4.8,6.8,4.6,2.4,2,11,4.4,2,4.2
180,9.2,8,11.3,13.2,11.2,12.6,5.6,7,5,8.4,1.2,7.3,3.4,8,2.2,3,2.9,12,3.9,2.2,4.6
181,12.4,6.4,9.8,12.2,11.4,12,6.8,9,5,7,2,8.2,4.8,8.2,3.4,1.4,2.8,10.2,3.2,2,3.8
182,12.6,5.2,10,15,8,12.4,5,8.2,4,7,4.8,5,3.8,10,4.4,1.2,3,10.2,3,1.2,2.4
183,8.8,5.6,11.6,13,13.2,15,5.4,5.8,3.8,7.4,3.4,9.2,3.2,10.8,3,1.8,4.2,9.6,4,2.2,4.2
184,11.8,5.6,10.8,14,12.8,9.6,5.8,7.6,3.4,7.4,2,8.8,3.8,7.6,4.2,2.2,3.4,12,4,2,2
185,13,10,12.2,12.9,12,12.6,5.4,8.2,4,8.4,3,8.6,3.6,9.2,4.8,6,3.8,9.9,3.4,1.8,3.4
186,12.8,7,12.2,10.6,12.8,15,5.8,8.5,4,7.8,3.6,8,3.6,10,4.3,3,4.4,7,4.8,2.2,5
187,13,6.6,10.4,12.8,12.1,13,5.6,9,4.8,7.5,3,8.4,3.3,8.2,4,1.8,2.9,9.8,3.7,2.3,4.8
188,12.8,6.4,9.2,10.6,10.8,13.4,5.6,9,4.6,6.6,2.2,7.6,3.8,8.6,3.8,1.8,2.6,8.4,3.2,1.8,4.8
189,11.2,6.4,10.4,15.4,11.8,11.8,5.4,7.4,4.8,7.4,4.4,8.6,4.4,8.8,3.8,1.6,3,11,3.2,1,3
190,11.4,7.4,9,14.6,10.8,14.6,5.8,6.2,5,6.8,4.4,7.8,3,10.2,5.2,2.4,2.2,10.2,3,2.8,4.4
191,9.8,10.4,9,13.6,12.6,17.8,6.2,5.6,7.2,5.8,3.6,8.6,4,8.6,4.2,3.2,3.2,10,4,2.2,9.2
192,12.6,5.2,8.6,13.1,11.6,11,6,6.6,3.2,5.4,5,5.8,3.8,7,6,2,3.2,8.1,5.8,2.2,4
193,13.8,9,6.2,16.9,10.4,12.8,6.4,9.8,7,4,7.1,7.6,4,8.4,4,2,2.2,9.8,2.8,2.4,4.4
194,14,5.8,9.7,14,9.4,12.4,5.4,8.8,3.8,6.5,2.6,6.9,3.2,8.2,5.2,2,3.2,11.4,2.5,2.2,4.2
195,10.6,5.4,10,12.4,11.8,12.8,6,7.8,3.6,7,2,7.6,3.8,9.2,2.8,1.8,3,10.4,4.2,2.2,3.6
196,13.8,5.8,7.6,13.2,11.4,11.2,5.4,8,3.8,5.8,4.2,8,4.2,7.4,5.8,2,1.8,9,3.4,1.2,3.8
197,12.2,4.8,10.6,13.4,10.4,12.2,4.6,8,3,7,4.6,7.8,2.8,7.4,4.2,1.8,3.6,8.8,2.6,1.8,4.8
198,13.2,5.2,10.1,13.6,9.8,10.2,5.4,8.4,3.2,6.9,4.2,7.8,3.6,7,4.8,2,3.2,9.4,2,1.8,3.2
199,13.4,5.4,10,13.4,10,10,5,9.4,3.2,6.6,3.6,6.6,4,7,4,2.2,3.4,9.8,3.4,1,3
200,14.6,6.6,11,13.6,11.2,10.4,6.4,9.9,3.4,7.6,4.6,7.2,4.2,6.6,4.7,3.2,3.4,9,4,2.2,3.8
201,12.2,2.6,10.3,14.4,10.3,10.9,5.4,7.8,0,7.4,3.4,7,3.4,6.9,4.4,2.6,2.9,11,3.3,2,4
202,14.8,8.2,10.2,11.8,10.2,9,5.4,11,4.6,7.2,3.2,7,3.6,5,3.8,3.6,3,8.6,3.2,1.8,4
203,12.8,10,9.8,13.8,10.4,9.4,5.6,7.4,7,7.2,4.4,7.8,3.8,5.6,5.4,3,2.6,9.4,2.6,1.8,3.8
204,13.2,7.2,10.6,11.6,10,10.2,6.2,8.2,5.2,7.4,4.2,7,4.4,7.2,5,2,3.2,7.4,3,1.8,3
205,13,5.6,11,15,10.2,9.4,6,10,2.4,7.8,5.2,6.2,4.2,6.2,3,3.2,3.2,9.8,4,1.8,3.2
206,14.6,9,12.6,13.5,11.2,8.4,6.2,9,7,9,4.6,7.8,4.2,6,5.6,2,3.6,8.9,3.4,2,2.4
207,13.6,12.2,11.2,13.8,10.2,8.6,5.2,7.9,5.2,8.2,5.4,6.6,3,5.2,5.7,7,3,8.4,3.6,2.2,3.4
208,13,11.3,10.7,12,11.1,8.7,5.3,8.4,7.1,6.7,3,7.6,3.6,5.7,4.6,4.2,4,9,3.5,1.7,3
209,13.2,9.8,10,12.6,10,8.8,5.6,9.6,5.8,6.8,2.8,7,4,6.6,3.6,4,3.2,9.8,3,1.6,2.2
210,15.6,10.6,11.2,14.2,10.4,10.4,5.8,9.8,6.6,8,5.4,7.4,4,7.4,5.8,4,3.2,8.8,3,1.8,3
211,14,12,14.2,11.8,10.8,9.6,5,8.8,6,11,3.2,8,2.8,6.8,5.2,6,3.2,8.6,2.8,2.2,2.8
212,11.8,10.8,12.8,12.6,10.4,7.2,6.8,7.2,6.8,10,4.4,7.2,4.6,5.4,4.6,4,2.8,8.2,3.2,2.2,1.8
213,11.2,6.4,11.8,14.2,10.2,8.2,6,7.2,6.4,8.6,5.2,6.6,3.8,5.6,4,0,3.2,9,3.6,2.2,2.6
214,11.4,11.4,10.8,10.5,11.4,9,5.2,7,7.4,7.4,4.1,7,3.4,5.6,4.4,4,3.4,6.4,4.4,1.8,3.4
215,10.4,16.4,10.9,13,9.6,9.7,4.7,7.6,7,7.4,4.6,6.7,3.1,6.9,2.8,9.4,3.5,8.4,2.9,1.6,2.8
216,10.8,10.6,11,12.6,10.6,9,5.2,8.8,7.6,8,4.4,7.8,3.8,5.6,2,3,3,8.2,2.8,1.4,3.4
217,12.8,9.6,11.6,12,11.4,7.4,5.2,8.4,6.2,8.8,4,8.2,4,5,4.4,3.4,2.8,8,3.2,1.2,2.4
218,11.8,10,11.6,11.6,10.6,8.8,6,7.2,6.2,8,5,7,4,6,4.6,3.8,3.6,6.6,3.6,2,2.8
219,11,10.6,12,11.8,10.8,8.6,5.4,7,5.6,8.2,2.8,7.8,3.4,6,4,5,3.8,9,3,2,2.6
220,12.8,11.8,10.6,11.5,10.2,8.4,5.6,8.8,6.2,6.8,3.6,7.2,3.8,5.8,4,5.6,3.8,7.9,3,1.8,2.6
221,13.2,9.6,10,11.2,9.4,7.2,5.8,8.7,6,7,3,7.4,3.8,4.6,4.5,3.6,3,8.2,2,2,2.6
222,12.2,10.2,9.9,10.4,10,9.8,5.2,9.4,6.4,6.8,2.8,6.4,3.7,6.6,2.8,3.8,3.1,7.6,3.6,1.5,3.2
223,11.6,10.8,11,10.4,10.4,7.2,5.2,8.8,6,8,2.6,7.2,3.4,5.6,2.8,4.8,3,7.8,3.2,1.8,1.6
224,12.4,6.9,8.8,11.2,8.8,10,5.2,7,3.3,6.4,4.4,6.8,3.4,7.4,5.4,3.6,2.4,6.8,2,1.8,2.6
225,12.4,7.4,11.4,10.2,14.6,10.8,4.4,8.8,4.8,7.6,4.4,8.6,2.8,5.8,3.6,2.6,3.8,5.8,6,1.6,5
226,11.6,10.8,10.2,11.8,10.8,7.4,4.8,9.8,7,7.4,6,8,3.2,5,1.8,3.8,2.8,5.8,2.8,1.6,2.4
227,15.2,11.4,12.4,13.4,10.2,10,4.8,11.4,8,8.6,4.6,6.8,2.8,5.8,3.8,3.4,3.8,8.8,3.4,2,4.2
228,10.9,11.8,11.4,9.6,9.6,9.4,4.4,8.2,7.2,8.4,3.2,8,2.8,7.6,2.7,4.6,3,6.4,1.6,1.6,1.8
229,12,12.4,10.8,9.8,10,8.6,4.4,9.2,8.4,7.6,2,7,3,6,2.8,4,3.2,7.8,3,1.4,2.6
230,11.6,7.8,10.6,7.6,7.8,7,5.4,8,4.8,7.6,2.8,5.2,3.2,4.8,3.6,3,3,4.8,2.6,2.2,2.2
231,11.8,8.4,11.4,11.4,8.6,5,4.4,7.4,5.8,8.2,5.2,5.6,3,3.8,4.4,2.6,3.2,6.2,3,1.4,1.2
232,15.8,11.4,10.8,8.6,11,6.4,5.6,8.4,6,7.4,2.4,7.8,2.8,4.2,7.4,5.4,3.4,6.2,3.2,2.8,2.2
233,12.6,10.8,9.4,12,11.6,6.6,4.4,8.6,3,6.4,5,7.6,2.8,3.6,4,7.8,3,7,4,1.6,3
234,12.6,11.8,10.4,10,9,7.4,5,7.4,4.6,7,3.6,7.2,3.4,5.4,5.2,7.2,3.4,6.4,1.8,1.6,2
235,9.2,11.8,10.2,9.4,10.4,6.6,5,7.4,7.2,6.6,2.8,7.2,3.2,4,1.8,4.6,3.6,6.6,3.2,1.8,2.6
236,12.2,10.2,9.3,8.4,10.3,7.9,3.5,9.8,6.4,6.4,2.6,7.1,2.5,5.3,2.4,3.8,2.9,5.8,3.2,1,2.6
237,12.6,12.8,11.8,10.6,9.2,7.6,4.8,10.2,7.8,7.8,3.6,7.4,3.4,5,2.4,5,4,7,1.8,1.4,2.6
238,12.4,12,11.2,9.6,9.8,7.6,5.2,8.8,8,7.4,4,7.6,3.4,5.6,3.6,4,3.8,5.6,2.2,1.8,2
239,11.8,11.8,11.4,9,10.8,8.2,4.4,7.6,7.2,8,2.6,6.4,3,5.4,4.2,4.6,3.4,6.4,4.4,1.4,2.8
240,10.6,10.6,10.2,9,9.2,8.4,4.2,8.4,6,7,3,7.2,3.2,5.6,2.2,4.6,3.2,6,2,1,2.8
241,12.6,9.6,9.8,9.2,10,9.2,4.4,10.6,5.6,6.4,3,7,3.2,6.2,2,4,3.4,6.2,3,1.2,3
242,13,11.4,9.8,8.8,10.6,8.6,4.4,8.8,7.8,7.2,2.8,7.6,3,4.8,4.2,3.6,2.6,6,3,1.4,3.8
243,10.6,9.8,8.7,11,9.1,8.5,4.1,7.6,7.2,6.2,4,6.4,2.9,5.1,3,2.6,2.5,7,2.7,1.2,3.4
244,8.6,12.6,9.4,10.2,9.4,8,3.2,6.8,8.4,7,3.2,6.6,2,5.2,1.8,4.2,2.4,7,2.8,1.2,2.8
245,11.4,11.6,9.9,9.6,9.4,8.8,5.4,8.8,7.6,7.8,2.8,7.6,4,6.6,2.6,4,2.1,6.8,1.8,1.4,2.2
246,12.6,10.9,10.6,9.4,10.2,9.6,3.8,8.2,6.9,7.2,2.4,7.2,1.8,6.8,4.4,4,3.4,7,3,2,2.8
247,13,9.6,9.6,8.8,10,8.6,3.8,9.2,7,7.2,3,6.4,2.6,6.4,3.8,2.6,2.4,5.8,3.6,1.2,2.2
248,13,0,8.6,8,4.4,10.6,4.4,8.6,0,6,2,3,2.8,7.6,4.4,0,2.6,6,1.4,1.6,3
249,0,12.8,9.2,11,10.6,8.6,4.6,,9,6.2,3.4,7.2,2.6,5.2,,3.8,3,7.6,3.4,2,3.4
250,0,11.6,8.9,11,9.8,8.9,3.4,,6.4,5.9,3.4,6.4,1.9,6,,5.2,3,7.6,3.4,1.5,2.9
251,0,13.6,8.6,9.6,9,8.8,3.6,,8.8,6,3.6,6.6,2.6,6.6,,4.8,2.6,6,2.4,1,2.2
252,0,12,10.4,13.6,9.8,9.4,4.8,,7.8,7.4,4.6,7.4,3.8,6.8,,4.2,3,9,2.4,1,2.6
253,0,15,10.2,9.4,10,12.2,3.4,,8.7,7,3.4,6.2,2,8.8,,6.3,3.2,6,3.8,1.4,3.4
254,0,9.4,8.4,9.2,9.2,11.6,4.2,,6.4,5.6,2.8,6.2,3.2,8,,3,2.8,6.4,3,1,3.6
255,0,10.6,10,9.8,11.8,9.4,3.2,,6.6,6.8,2.8,8.4,2.2,6,,4,3.2,7,3.4,1,3.4
256,0,8.2,9.6,9.6,11.2,9.8,3,,5,6,3.4,8.8,2,6.8,,3.2,3.6,6.2,2.4,1,3
257,0,9.6,8.2,9.6,8.6,0,3.2,,6,5.7,2.8,5.7,2.2,,,3.6,2.5,6.8,2.9,1,
258,0,10.4,0,12,9.8,0,2,,6.8,,5.2,7,1,,,3.6,,6.8,2.8,1,
259,0,11,0,8.4,8.4,0,2.4,,5.2,,3.6,6.4,2.4,,,5.8,,4.8,2,0,
260,0,5.6,0,7,9.4,0,2,,3.3,,2.6,6.2,2,,,2.3,,4.4,3.2,0,
261,0,6,0,6.8,0,0,4,,6,,1.8,,3,,,0,,5,,1,
262,0,12,0,8.3,0,0,3.4,,6.8,,3.2,,2.4,,,5.2,,5.1,,1,
263,0,12.2,0,8.7,0,0,3.6,,6.6,,3.5,,2.6,,,5.6,,5.2,,1,
264,0,11,0,5.8,0,0,1.9,,7,,3,,1.9,,,4,,2.8,,0,
265,0,10.4,0,7.4,0,0,3,,6.6,,2,,2,,,3.8,,5.4,,1,
266,0,5.6,0,2.6,0,0,2.8,,5.6,,2.6,,1.8,,,0,,,,1,
267,0,10.3,0,0,0,0,3.8,,4.8,,,,2.8,,,5.5,,,,1,
268,0,10.6,0,0,0,0,3.2,,6.2,,,,2,,,4.4,,,,1.2,
269,0,10.8,0,0,0,0,3,,7.2,,,,2,,,3.6,,,,1,
270,0,0,0,0,0,0,3,,,,,,2,,,,,,,1,
271,0,0,0,0,0,0,1.9,,,,,,1.9,,,,,,,0,
272,0,0,0,0,0,0,3.4,,,,,,2.4,,,,,,,1,
273,0,0,0,0,0,0,2.2,,,,,,2.2,,,,,,,0,
274,0,0,0,0,0,0,2.8,,,,,,1.6,,,,,,,1.2,
