NNP4,VivianaNET,DianitaNET,MorochaNET,CentavitoNET,LeticiaNET,MuchiraNET,SorayaNET,VivianaAM,DianitaAM,MorochaAM,CentavitoAM,LeticiaAM,MuchiraAM,SorayaAM,VivianaPM, DianitaPM,MorochaPM,CentavitoPM,LeticiaPM,MuchiraPM,SorayaPM
41,0,12,19.2,12.4,13,21,11.6,0,8,13.4,3.6,9.2,7.8,13.8,0,4,5.8,8.8,3.8,3.8,7.2
42,11.8,14,16.8,13.8,13.8,22,11.2,7.4,8,13,4.8,9,7.2,14,4.4,6,3.8,9,4.8,4,8
43,11,14.4,18,13.4,15.6,19.8,11.4,8.6,9,12,4,9.6,7.6,13,2.4,5.4,6,9.4,6,3.8,6.8
44,8.2,12,19.8,13,16.6,22.6,10.6,6,8,10.4,4,11.2,8.2,15,2.2,4,9.4,9,5.4,2.4,7.6
45,10.2,14,16.4,10.7,11,19.6,8.8,6,10,10.4,2.8,5,7,13.4,4.2,4,6,7.9,6,1.8,6.2
46,8,15,15,13.5,12.4,20.2,11.4,5.2,9,8.4,3.7,8.4,7.6,12.8,2.8,6,6.6,9.8,4,3.8,7.4
47,12.4,14,17,13.8,11.6,17.2,11,9,9,10.2,3.8,8.4,7,10,3.4,5,6.8,10,3.2,4,7.2
48,13.2,14,17.4,13.6,13.2,19.8,2.8,9,9,11.6,5.4,9,0,12,4.2,5,5.8,8.2,4.2,2.8,7.8
49,14.2,12,13.6,12,13,19,10.4,8,8,9.6,4.4,9.6,7.2,13,6.2,4,4,7.6,3.4,3.2,6
50,13.8,11.2,10,14.8,13.8,16.8,11,9,7.2,6,4.8,8.4,7,11.4,4.8,4,4,10,5.4,4,5.4
51,9.8,14.6,15.8,12.8,14.4,18.2,7.4,5.8,8,13,3.8,8.8,5,12.2,4,6.6,2.8,9,5.6,2.4,6
52,12.4,14.2,15.8,13.7,12,19,7.6,8.4,8.6,10,4.2,7.6,5.4,12,4,5.6,5.8,9.5,4.4,2.2,7
53,13.8,13.2,11.8,14.9,10.2,16.6,9.8,8.6,8.6,9,4.1,7.2,7,11.4,5.2,4.6,2.8,10.8,3,2.8,5.2
54,7.4,11.6,11.8,11.8,10.6,17.2,10.5,7.4,7.2,8,3.8,7,6.4,11,0,4.4,3.8,8,3.6,4.1,6.2
55,13.2,14.4,3.4,12.8,15.2,18.1,8.2,7.6,9,0,3.8,10,5,12.5,5.6,5.4,3.4,9,5.2,3.2,5.6
