N162,Andre_L162,WAndre162,Andre_E162,Gpa_L162,WGpa162,Gpa_E162
1,19,382,19.1,20.6,511,25.55
2,5.89,382,19.1,18,511,25.55
3,17.4,382,19.1,10,511,25.55
4,19.2,382,19.1,13,511,25.55
5,22.6,382,19.1,20,511,25.55
6,19,382,19.1,20.2,511,25.55
7,20,382,19.1,18.6,511,25.55
8,18.8,382,19.1,19.4,511,25.55
9,20.2,382,19.1,20.2,511,25.55
10,21.2,382,19.1,22.4,511,25.55
11,20.2,382,19.1,21,511,25.55
12,17.6,382,19.1,22.4,511,25.55
13,23.8,382,19.1,22.2,511,25.55
14,20.8,382,19.1,24.6,511,25.55
15,20,382,19.1,18.6,511,25.55
16,22,382,19.1,24.6,511,25.55
17,19.6,382,19.1,22.2,511,25.55
18,20.6,382,19.1,20.8,511,25.55
19,18.2,382,19.1,20.8,511,25.55
20,16.8,382,19.1,20.2,511,25.55
21,20.6,382,19.1,18.2,511,25.55
22,19.6,382,19.1,22.4,511,25.55
23,20.2,382,19.1,19.2,511,25.55
24,15.6,382,19.1,17.4,511,25.55
25,17.8,382,19.1,21.4,511,25.55
26,18.2,382,19.1,18,511,25.55
27,19.6,382,19.1,20.6,511,25.55
28,22.2,382,19.1,22.6,511,25.55
29,20.2,382,19.1,22,511,25.55
30,21.4,382,19.1,22.8,511,25.55
31,24.2,382,19.1,21.2,511,25.55
32,20.4,382,19.1,21.4,511,25.55
33,21,382,19.1,23.1,511,25.55
34,20.2,382,19.1,23.2,511,25.55
35,25.2,382,19.1,19.8,511,25.55
36,19,382,19.1,21.8,511,25.55
37,22.4,382,19.1,22.2,511,25.55
38,20.6,382,19.1,23,511,25.55
39,20.4,382,19.1,23,511,25.55
40,19.8,382,19.1,22.2,511,25.55
41,22.1,382,19.1,21.8,511,25.55
42,25.6,382,19.1,20.8,511,25.55
43,25.6,382,19.1,20.8,511,25.55
44,20.2,382,19.1,18.4,511,25.55
45,19.6,382,19.1,22.6,511,25.55
46,20.8,382,19.1,20.6,511,25.55
47,20.8,382,19.1,18.6,511,25.55
48,20,382,19.1,23.8,511,25.55
49,23.6,382,19.1,23.8,511,25.55
50,23.4,382,19.1,25.6,511,25.55
51,22.2,382,19.1,22.6,511,25.55
52,26,382,19.1,21.4,511,25.55
53,18.6,382,19.1,23.2,511,25.55
54,23.6,382,19.1,23.5,511,25.55
55,22.4,382,19.1,24,511,25.55
56,22.8,382,19.1,22,511,25.55
57,19.2,382,19.1,22.4,511,25.55
58,19,382,19.1,21.2,511,25.55
59,21.4,382,19.1,23.4,511,25.55
60,21,382,19.1,18.2,511,25.55
61,17.8,382,19.1,21.7,511,25.55
62,16.5,382,19.1,20.4,511,25.55
63,25,382,19.1,22.8,511,25.55
64,21.4,382,19.1,22.6,511,25.55
65,21.2,382,19.1,22.4,511,25.55
66,21.8,382,19.1,21.8,511,25.55
67,18.4,382,19.1,23.4,511,25.55
68,21.6,382,19.1,20.8,511,25.55
69,17.8,382,19.1,21.4,511,25.55
70,20.4,382,19.1,20.8,511,25.55
71,18.6,382,19.1,19.8,511,25.55
72,18,382,19.1,21.4,511,25.55
73,17.8,382,19.1,21.6,511,25.55
74,19,382,19.1,18.6,511,25.55
75,21.4,382,19.1,21.3,511,25.55
76,17.8,382,19.1,21.6,511,25.55
