N162,Andre_L162,WAndre162,Andre_E162,Gpa_L162,WGpa162,Gpa_E162
77,20.8,382,19.1,19.8,511,25.55
78,20,382,19.1,21,511,25.55
79,21.6,382,19.1,16.6,511,25.55
80,20.6,382,19.1,20.2,511,25.55
81,18.8,382,19.1,22,511,25.55
82,20.2,382,19.1,21.4,511,25.55
83,18.3,382,19.1,20.6,511,25.55
84,19,382,19.1,20,511,25.55
85,20,382,19.1,22.2,511,25.55
86,21.6,382,19.1,21.2,511,25.55
87,20.6,382,19.1,20.8,511,25.55
88,19.2,382,19.1,19.8,511,25.55
89,17,382,19.1,20.3,511,25.55
90,18.3,382,19.1,22,511,25.55
91,20.8,382,19.1,20.2,511,25.55
92,19.1,382,19.1,22.2,511,25.55
93,14.7,382,19.1,19.4,511,25.55
94,17.2,382,19.1,20.2,511,25.55
95,17.8,382,19.1,16.6,511,25.55
96,18,382,19.1,20.2,511,25.55
97,18.4,382,19.1,18.6,511,25.55
98,16.2,382,19.1,18.8,511,25.55
99,20.2,382,19.1,19.6,511,25.55
100,16.6,382,19.1,17,511,25.55
101,16.2,382,19.1,18.4,511,25.55
102,15.4,382,19.1,18,511,25.55
103,15.6,382,19.1,18.6,511,25.55
104,18.3,382,19.1,19.6,511,25.55
105,21,382,19.1,18,511,25.55
106,16,382,19.1,17.8,511,25.55
107,18,382,19.1,18.2,511,25.55
108,19.4,382,19.1,20.2,511,25.55
109,18,382,19.1,19.6,511,25.55
110,17.4,382,19.1,18.6,511,25.55
111,16.3,382,19.1,21.6,511,25.55
112,19.2,382,19.1,19.6,511,25.55
113,15.4,382,19.1,18.4,511,25.55
114,18.4,382,19.1,15.4,511,25.55
115,16.6,382,19.1,18.4,511,25.55
116,17.2,382,19.1,18.6,511,25.55
117,18.2,382,19.1,16.8,511,25.55
118,17.3,382,19.1,17.4,511,25.55
119,16.6,382,19.1,17.6,511,25.55
120,17,382,19.1,18.4,511,25.55
121,17.6,382,19.1,20.8,511,25.55
122,18,382,19.1,18.2,511,25.55
123,18.4,382,19.1,19.6,511,25.55
124,16.6,382,19.1,19.8,511,25.55
125,17.7,382,19.1,18.2,511,25.55
126,14.8,382,19.1,20.8,511,25.55
127,17.4,382,19.1,19,511,25.55
128,17.6,382,19.1,18.2,511,25.55
129,16,382,19.1,17.2,511,25.55
130,16.6,382,19.1,19,511,25.55
131,11.8,382,19.1,19.4,511,25.55
132,19.4,382,19.1,18,511,25.55
133,15,382,19.1,17.4,511,25.55
134,15,382,19.1,20.2,511,25.55
135,18.4,382,19.1,19,511,25.55
136,17,382,19.1,20,511,25.55
137,18.4,382,19.1,18,511,25.55
138,18.2,382,19.1,18.8,511,25.55
139,16.2,382,19.1,18,511,25.55
140,17.4,382,19.1,18,511,25.55
141,17.2,382,19.1,19.6,511,25.55
142,19,382,19.1,21.6,511,25.55
143,15.8,382,19.1,19.2,511,25.55
144,17.6,382,19.1,19.4,511,25.55
145,17.4,382,19.1,19.6,511,25.55
146,19,382,19.1,18.8,511,25.55
147,17,382,19.1,19.2,511,25.55
148,17.6,382,19.1,19,511,25.55
149,20.8,382,19.1,17.8,511,25.55
150,17.6,382,19.1,17,511,25.55
151,16,382,19.1,18,511,25.55
152,18.2,382,19.1,16,511,25.55
153,14.4,382,19.1,18.4,511,25.55
154,18.6,382,19.1,16.6,511,25.55
155,16.6,382,19.1,17.6,511,25.55
156,17,382,19.1,15,511,25.55
157,16.6,382,19.1,16,511,25.55
158,16.4,382,19.1,17.2,511,25.55
159,16.2,382,19.1,16.2,511,25.55
160,17.4,382,19.1,14.6,511,25.55
161,16.2,382,19.1,15.8,511,25.55
162,17.8,382,19.1,0,511,25.55
