N,Hour,#D,#M,Viviana,Soraya,Dianita,Morocha,Centavito,Muchira,Leticia
213,AM,107,4,8,4.2,2.6,4.2,7,4.8,9.2
214,PM,107,4,4.4,4,2.6,8.2,3.5,2,7.4
215,AM,108,4,7.4,8,8,2.6,9.4,3.8,8.4
216,PM,108,4,3.2,7,4,9.3,3.6,2.2,5.6
217,AM,109,4,8.3,6,8.2,3.3,11.4,3.8,9.4
218,PM,109,4,3.7,5,5,9.2,4.4,2.8,6.6
219,AM,110,4,5.2,8,8.3,3.4,10.1,4,6.2
220,PM,110,4,2.6,5.6,2.1,9.2,4,1,6.8
221,AM,111,4,7,9,6,3.6,5,5,9
222,PM,111,4,2.8,5.4,2.8,9.4,5.2,3.6,5.2
223,AM,112,4,8,8,0,3.6,9.2,1.8,11
224,PM,112,4,5.4,6,0,6.6,3.6,2.6,0
225,AM,113,4,8,8.2,9,5.2,10,3.2,4.8
226,PM,113,4,3.8,2.4,4.2,8.6,6.2,4,7.4
227,AM,114,4,5.8,7,8.2,3.8,9.8,5.2,11
228,PM,114,4,5.6,4,2.6,9.2,4.8,3,4.8
229,AM,115,4,9,6.2,8.2,4.2,7.2,4.2,10.8
230,PM,115,4,4,4.8,2.6,8.1,5,3,3.4
231,AM,116,4,7.4,9.2,10.2,3.9,10,3.8,7
232,PM,116,4,4.5,4.6,3.2,8.4,2.2,3.2,5.8
233,AM,117,4,6.8,8.8,9.8,5.6,8.6,3.6,10
234,PM,117,4,2.8,5.2,3.8,8.8,4.8,2.7,5
235,AM,118,4,8,7.4,8.4,3.8,8.2,5.6,11
236,PM,118,4,4.4,8.1,3.8,6.8,4.4,0,5.4
237,AM,119,4,8.6,10,4.6,7.8,7.6,6.2,9
238,PM,119,4,3.6,5,3.2,7.2,4.2,3.2,4
239,AM,120,4,9.2,8,9.4,4.63,9.6,5.8,8.4
240,PM,120,4,4.2,4,4,8.8,3.6,3.4,6
241,AM,121,4,5.8,9.4,10.2,2,6.6,4.6,10
242,PM,121,4,3.6,4.9,4,10.4,2,2.8,6
243,AM,122,4,7.8,9,6.2,3.2,6.8,6.2,7.4
244,PM,122,4,3.4,4.2,3.4,8.4,3,4.6,5
245,AM,123,5,6.6,8,9,4.4,6.8,6.2,8.2
246,PM,123,5,3.8,4,4.4,8,3.4,0,3.4
247,AM,124,5,7,8.8,8.9,3.4,6.7,4.4,7.6
248,PM,124,5,2.8,3.2,3.3,8.8,4.1,2.3,4.3
249,AM,125,5,6.4,5.4,8.8,5,7.2,8.2,8
250,PM,125,5,3.2,4,0,9.4,1.6,2.8,5
251,AM,126,5,8,4,10.4,3.8,9.4,4.4,7.8
252,PM,126,5,3.2,0,5,9.8,4.2,2.4,4.8
253,AM,127,5,6.4,8.2,9.2,3.2,7.4,5,8
254,PM,127,5,3.4,4,4.2,8.6,3.8,2.4,5.2
255,AM,128,5,8.8,8,8,4.4,9,5.6,7.2
256,PM,128,5,3.8,2.8,4.8,8.6,3.2,3,5.2
257,AM,129,5,7.6,7.8,11.2,5,7.4,5.6,9.2
258,PM,129,5,4.4,4,3.8,7.8,3.2,2,4
