N,Hour,#D,#M,Viviana,Soraya,Dianita,Morocha,Centavito,Muchira,Leticia
97,AM,49,2,8,8,9.6,4.4,9.6,7.2,13
98,PM,49,2,6.2,4,4,7.6,3.4,3.2,6
99,AM,50,2,9,7.2,6,4.8,8.4,7,11.4
100,PM,50,2,4.8,4,4,10,5.4,4,5.4
101,AM,51,2,5.8,8,13,3.8,8.8,5,12.2
102,PM,51,2,4,6.6,2.8,9,5.6,2.4,6
103,AM,52,2,8.4,8.6,10,4.2,7.6,5.4,12
104,PM,52,2,4,5.6,5.8,9.5,4.4,2.2,7
105,AM,53,2,8.6,8.6,9,4.1,7.2,7,11.4
106,PM,53,2,5.2,4.6,2.8,10.8,3,2.8,5.2
107,AM,54,2,7.4,7.2,8,3.8,7,6.4,11
108,PM,54,2,0,4.4,3.8,8,3.6,4.1,6.2
109,AM,55,2,7.6,9,0,3.8,10,5,12.5
110,PM,55,2,5.6,5.4,3.4,9,5.2,3.2,5.6
111,AM,56,2,7.6,8.6,10,3.4,9,6.4,12
112,PM,56,2,6,4,4.4,9,4.8,2.8,6.2
113,AM,57,2,6,0,8.8,4.6,6.4,6.2,10.4
114,PM,57,2,4,0,4.2,8.8,5,6.4,7.2
115,AM,58,2,7.2,0,10,4.4,7,0,9.8
116,PM,58,2,1.2,0,5.8,8.2,5.4,5.2,5.4
117,AM,59,2,7.6,0,11,5,7.8,6.2,11
118,PM,59,2,0,0,4.2,8,6,3.2,7.6
119,AM,60,2,7.7,0,9.8,3.7,7,6,12.7
120,PM,60,2,3.4,0,5,6,4.8,6.6,5.6
121,AM,61,2,9.2,0,11.8,3,8.5,12,11.2
122,PM,61,2,4,0,4.6,9,4.9,5.2,6.2
123,AM,62,3,9.8,0,11.4,3.8,7.8,11.8,11
124,PM,62,3,2,0,5.6,7.6,5,5,4.8
125,AM,63,3,10.4,0,12.6,4,6,13,11.2
126,PM,63,3,4.6,0,4,7.6,4,4.4,3.6
127,AM,64,3,6.4,9,11.2,4,6,5.8,11.4
128,PM,64,3,5.8,5,6.2,7.4,3.8,3,5.8
129,AM,65,3,8.6,9,0,4,8.4,6.4,9.4
130,PM,65,3,4.6,4,5,8,3.8,4,6.2
131,AM,66,3,9.6,10,4.4,3.8,9,6,7
132,PM,66,3,4,5,5.4,8.4,4.6,4.2,6.8
133,AM,67,3,7.3,8,10,3.7,7.6,2.2,12
134,PM,67,3,1.8,6,7,8.8,5,3,6
135,AM,68,3,8.6,9,15.2,4.6,8.4,7,11
136,PM,68,3,4,6,6,7,4.2,3,5.8
137,AM,69,3,5.6,8.5,11,1.6,8.2,6,12
138,PM,69,3,4.4,6,5,9,3,3.8,5.4
139,AM,70,3,7.6,8.4,13,3.6,0,5.8,11
140,PM,70,3,4.4,5,4,8.6,0,0,4.6
141,AM,71,3,8,8,10.2,6.4,8.4,7.4,12
142,PM,71,3,3.2,6,6,9.8,2.2,3.4,5.2
143,AM,72,3,6.8,9,10.4,3,7.4,5.2,8.2
144,PM,72,3,3.6,5,5.4,10.6,3.4,3.6,5
145,AM,73,3,7.2,9,10,3.6,7.6,5.8,12
146,PM,73,3,4,5,5.4,8.5,3.4,3.2,6
147,AM,74,3,5.6,9.4,9.8,4.5,6.4,6,9.8
148,PM,74,3,4.3,5.4,4.8,8.6,4.4,3,6
149,AM,75,3,8.8,9,10.6,3.4,9.6,5,12.2
150,PM,75,3,4.2,9,4,9,7.8,2.4,8.3
151,AM,76,3,6.8,9,11.2,2.8,7.4,5.8,11.2
152,PM,76,3,4.1,5,2.1,9,9,2.8,5.6
153,AM,77,3,9,8.4,10,5,9.4,5,7.7
154,PM,77,3,5,5,0,9.4,4.4,4,6.2
155,AM,78,3,8.2,9.6,10.6,3.2,7.2,2.2,7
156,PM,78,3,4,5.2,5.3,9.4,7,3.8,5.4
157,AM,79,3,8.6,8,10.2,3.4,6.2,5,9.2
158,PM,79,3,3.2,5.4,5.2,9.2,4,3.2,4
159,AM,80,3,10.6,8.6,11.4,4.8,12,10.4,9.4
160,PM,80,3,4.8,5.8,6,8.5,3.4,2,4.2
161,AM,81,3,7.2,8.6,9.8,5,7.8,6,11.2
162,PM,81,3,4.7,5.2,5,8.6,3,3.2,6
163,AM,82,3,7.4,8.6,7.2,3.2,6.6,5.8,9.6
164,PM,82,3,5.4,5.2,4.6,9,3.3,2.8,7.2
165,AM,83,3,7,8.6,8.8,2.4,3.6,6.8,13
166,PM,83,3,3.2,5.4,4.2,10.4,0,2,7
167,AM,84,3,8,8.2,9.2,5,3.4,6,12.6
168,PM,84,3,4.8,5.2,4.2,9,5.2,3.4,5.8
169,AM,85,3,7.8,8.2,9.8,3,6.8,13.4,12
170,PM,85,3,4,5,7.2,8.6,6.4,0,7
171,AM,86,3,7,8.8,11,4.2,8,6.8,14.4
172,PM,86,3,5,5.6,5,8.8,4.6,3,5.2
173,AM,87,3,10.2,8.6,5.4,3.4,8.8,5.4,10.2
174,PM,87,3,4.2,5,5.6,9.4,3.6,3,2.6
175,AM,88,3,6.8,9,6,4.3,11,4.8,12
176,PM,88,3,4.9,5.2,3,9.6,0,0,5
177,AM,89,3,7.2,8,4.8,2.6,8.9,5.8,10
178,PM,89,3,4.6,5,3.4,9.2,6.2,6.2,2.8
179,AM,90,3,7.8,9,8.4,3.4,5.4,6.2,0
180,PM,90,3,4.8,5.6,3.6,9.8,4,3,6.4
181,AM,91,3,9.2,9,9.8,3.4,5.2,5.6,11.4
182,PM,91,3,4,5,4.2,8.2,3.2,3.2,2.4
183,AM,92,3,7.8,6,8.8,5.2,8,6,10.2
184,PM,92,4,4.4,3,5,9.2,2.4,2.4,4
185,AM,93,4,6.4,8,9.2,5.6,7.2,7.8,9.4
186,PM,93,4,4.4,6,3.8,9.4,5,4.4,2.8
187,AM,94,4,6.8,5,7,4.6,6.8,5,7
188,PM,94,4,4,4,3.4,9.2,4.6,3.2,3.6
189,AM,95,4,5.9,8,8,4.8,7,5.8,8
190,PM,95,4,4.5,6,2.8,9.2,4.2,2.8,4.4
191,AM,96,4,4.6,7.2,7,3.4,7.3,5.4,11.2
192,PM,96,4,3.6,4,6,9.6,4.1,2.8,10
193,AM,97,4,8,8,9,3.8,5.8,4.4,13.4
194,PM,97,4,3.4,4,8,9.6,3.8,3,7.2
195,AM,98,4,8,8,8.8,4.6,6.8,5.8,9
196,PM,98,4,5,3.2,4.8,10.2,4.2,2,4.4
197,AM,99,4,7,7,10.2,4.6,9.4,5.2,10.4
198,PM,99,4,3.6,4,4,10,3.8,2.6,5.2
199,AM,100,4,6.8,7,7.8,3.8,9,4,0
200,PM,100,4,3.6,3,3,10,3,2.4,5
201,AM,101,4,7.41,6,7.8,3.8,7.2,5.8,10.2
202,PM,101,4,3.4,6,5,10.1,4,3.6,5.8
203,AM,102,4,7.5,8,8.8,3.4,8,6,10
204,PM,102,4,3.8,3.2,3.4,10,1.8,3,3
205,AM,103,4,6.8,9,8.8,3.4,8.7,5.5,4.4
206,PM,103,4,4.6,4.2,4.9,9.4,5.1,2.6,3.6
207,AM,104,4,6.8,8.8,9,3.8,3.4,5.4,6.8
208,PM,104,4,4.2,3.8,4.2,9,4.2,2.6,5
209,AM,105,4,8.6,12,9.4,2.8,8,0,3
210,PM,105,4,5,4,4.4,8.8,3,0,3.8
211,AM,106,4,5,7,6,3.8,6,4.6,7.4
212,PM,106,4,4.6,4.8,5.2,7.8,3.8,6,7.7
