N,Hour,#D,#M,Guapa,Andrea
1,AM,1,1,14,14
2,PM,1,1,6.6,5
3,AM,2,1,12,0
4,PM,2,1,6,5.89
5,AM,3,1,7,11.4
6,PM,3,1,3,6
7,AM,4,1,8,10.2
8,PM,4,1,5,9
9,AM,5,1,13.4,13.2
10,PM,5,1,6.6,9.4
11,AM,6,1,13.4,13.2
12,PM,6,1,6.8,5.8
13,AM,7,1,11.8,14
14,PM,7,1,6.8,6
15,AM,8,1,11.2,13
16,PM,8,1,8.2,5.8
17,AM,9,1,13,12.2
18,PM,9,1,7.2,8
19,AM,10,1,13.4,14.4
20,PM,10,1,9,6.8
21,AM,11,1,14.4,13.2
22,PM,11,1,6.6,7
23,AM,12,1,14.2,13.2
24,PM,12,1,8.2,4.4
25,AM,13,1,15,16.2
26,PM,13,1,7.2,7.6
27,AM,14,1,16.2,13.6
28,PM,14,1,8.4,7.2
29,AM,15,1,11,12.6
30,PM,15,1,7.6,7.4
31,AM,16,1,15.8,13
32,PM,16,1,8.8,9
33,AM,17,1,13.8,13.8
34,PM,17,1,8.4,5.8
35,AM,18,1,14,14.8
36,PM,18,1,6.8,5.8
37,AM,19,1,14,11.2
38,PM,19,1,6.8,7
39,AM,20,1,13.2,10.6
40,PM,20,1,7,6.2
41,AM,21,1,13,13.8
42,PM,21,1,5.2,6.8
43,AM,22,1,16,13
44,PM,22,1,6.4,6.6
45,AM,23,1,13,11.6
46,PM,23,1,6.2,8.6
47,AM,24,1,11.8,11
48,PM,24,1,5.6,4.6
49,AM,25,1,13.4,11.8
50,PM,25,1,8,6
51,AM,26,1,11.8,11
52,PM,26,1,6.2,7.2
53,AM,27,1,14,10
54,PM,27,1,6.6,9.6
55,AM,28,1,15.2,15
56,PM,28,1,7.4,7.2
57,AM,29,1,14.6,12.4
58,PM,29,1,7.4,7.8
59,AM,30,1,15,15.6
60,PM,30,1,7.8,5.8
61,AM,31,1,14.6,16
62,PM,31,2,6.6,8.2
63,AM,32,2,15.6,14
64,PM,32,2,5.8,6.4
65,AM,33,2,15.8,14
66,PM,33,2,7.3,7
67,AM,34,2,14.6,14.8
68,PM,34,2,8.6,5.4
69,AM,35,2,12.6,14.6
70,PM,35,2,7.2,10.6
71,AM,36,2,15,15
72,PM,36,2,6.8,4
73,AM,37,2,15,14
74,PM,37,2,7.2,8.4
75,AM,38,2,15.2,11.6
76,PM,38,2,7.8,9
77,AM,39,2,15.2,13.4
78,PM,39,2,7.8,7
79,AM,40,2,14.8,12.8
80,PM,40,2,7.4,7
81,AM,41,2,14.6,15.1
82,PM,41,2,7.2,7
83,AM,42,2,14.6,15.6
84,PM,42,2,6.2,10
85,AM,43,2,14.2,17.6
86,PM,43,2,6.6,8
87,AM,44,2,12.2,13.4
88,PM,44,2,6.2,6.8
89,AM,45,2,16,10.8
90,PM,45,2,6.6,8.8
91,AM,46,2,13.8,13.2
92,PM,46,2,6.8,7.6
93,AM,47,2,12,14.8
94,PM,47,2,6.6,6
95,AM,48,2,15.8,13.2
96,PM,48,2,8,6.8
97,AM,49,2,16.2,15.8
98,PM,49,2,7.6,7.8
99,AM,50,2,17.2,16.2
100,PM,50,2,8.4,7.2
101,AM,51,2,15.4,17
102,PM,51,2,7.2,5.2
103,AM,52,2,14.2,16
104,PM,52,2,7.2,10
105,AM,53,2,16,12.8
106,PM,53,2,7.2,5.8
107,AM,54,2,14.4,15.8
108,PM,54,2,9.1,7.8
109,AM,55,2,15.8,14.1
110,PM,55,2,8.2,8.3
111,AM,56,2,15.8,14.2
112,PM,56,2,6.2,8.6
113,AM,57,2,15.2,11.4
114,PM,57,2,7.2,7.8
115,AM,58,2,13.4,11
116,PM,58,2,7.8,8
117,AM,59,2,16,14.4
118,PM,59,2,7.4,7
119,AM,60,2,14,14.2
120,PM,60,2,4.2,6.8
121,AM,61,2,15.9,9
122,PM,61,2,5.8,8.8
