N,Hour,#D,#M,Guapa,Andrea
123,AM,62,3,14.4,12.2
124,PM,62,3,6,4.3
125,AM,63,3,16.4,18.8
126,PM,63,3,6.4,6.2
127,AM,64,3,15,15.2
128,PM,64,3,7.6,6.2
129,AM,65,3,15.2,14.2
130,PM,65,3,7.2,7
131,AM,66,3,15,15
132,PM,66,3,6.8,6.8
133,AM,67,3,15.4,13.4
134,PM,67,3,8,5
135,AM,68,3,14,13
136,PM,68,3,6.8,8.6
137,AM,69,3,14,11.4
138,PM,69,3,7.4,6.4
139,AM,70,3,14.6,13
140,PM,70,3,6.2,7.4
141,AM,71,3,13,10
142,PM,71,3,6.8,8.6
143,AM,72,3,13.8,12
144,PM,72,3,7.6,6
145,AM,73,3,14.2,12.4
146,PM,73,3,7.4,5.4
147,AM,74,3,12,15
148,PM,74,3,6.6,4
149,AM,75,3,14,16
150,PM,75,3,7.3,5.4
151,AM,76,3,14,9.6
152,PM,76,3,7.6,8.2
153,AM,77,3,13,14.6
154,PM,77,3,6.8,6.2
155,AM,78,3,15,13
156,PM,78,3,6,7
157,AM,79,3,11.2,14.8
158,PM,79,3,5.4,6.8
159,AM,80,3,14,14
160,PM,80,3,6.2,6.6
161,AM,81,3,15,13.2
162,PM,81,3,7,5.6
163,AM,82,3,14.2,12.4
164,PM,82,3,7.2,7.8
165,AM,83,3,14.6,12.2
166,PM,83,3,6,6.1
167,AM,84,3,13,11.8
168,PM,84,3,7,7.2
169,AM,85,3,15,12.8
170,PM,85,3,7.2,7.2
171,AM,86,3,14.4,13.4
172,PM,86,3,6.8,8.2
173,AM,87,3,14.2,13
174,PM,87,3,6.6,7.6
175,AM,88,3,14.8,12.2
176,PM,88,3,5,7
177,AM,89,3,13.1,10.8
178,PM,89,3,7.2,6.2
179,AM,90,3,15.2,12.3
180,PM,90,3,6.8,6
181,AM,91,3,13.8,15.4
182,PM,91,3,6.4,5.4
183,AM,92,3,15.4,12.3
184,PM,92,4,6.8,6.8
185,AM,93,4,12.8,10.5
186,PM,93,4,6.6,4.2
187,AM,94,4,13.4,12
188,PM,94,4,6.8,5.2
189,AM,95,4,10,11
190,PM,95,4,6.6,6.8
191,AM,96,4,13.8,12.8
192,PM,96,4,6.4,5.2
193,AM,97,4,12.4,11.5
194,PM,97,4,6.2,6.9
195,AM,98,4,12.6,12
196,PM,98,4,6.2,4.2
197,AM,99,4,12.6,13.8
198,PM,99,4,7,6.4
199,AM,100,4,11.2,12
200,PM,100,4,5.8,4.6
201,AM,101,4,13,8
202,PM,101,4,5.4,8.2
203,AM,102,4,12.4,7.8
204,PM,102,4,5.6,7.6
205,AM,103,4,11.7,11.4
206,PM,103,4,6.9,4.2
207,AM,104,4,13.8,11.9
208,PM,104,4,5.8,6.4
209,AM,105,4,12,14
210,PM,105,4,6,7
211,AM,106,4,13,12
212,PM,106,4,4.8,4
213,AM,107,4,13.4,14
214,PM,107,4,4.8,4
215,AM,108,4,13.4,13.2
216,PM,108,4,6.8,6.2
217,AM,109,4,13.8,12
218,PM,109,4,5.8,6
219,AM,110,4,12.2,11.8
220,PM,110,4,6.4,5.6
221,AM,111,4,15.2,11
222,PM,111,4,6.4,5.3
223,AM,112,4,13.2,13
224,PM,112,4,6.4,6.2
225,AM,113,4,12.4,10.6
226,PM,113,4,6,4.8
227,AM,114,4,10.2,11.2
228,PM,114,4,5.2,7.2
229,AM,115,4,12.2,11
230,PM,115,4,6.2,5.6
231,AM,116,4,14.2,12
232,PM,116,4,4.4,5.2
233,AM,117,4,11.8,10.8
234,PM,117,4,5,7.4
235,AM,118,4,10.8,11.1
236,PM,118,4,6.6,6.2
237,AM,119,4,12.2,10.6
238,PM,119,4,5.4,6
239,AM,120,4,12.6,11
240,PM,120,4,5.8,6
241,AM,121,4,14.2,11.2
242,PM,121,4,6.6,6.4
243,AM,122,4,12,12.4
244,PM,122,4,6.2,5.6
245,AM,123,5,11.8,12
246,PM,123,5,7.8,6.4
247,AM,124,5,10.8,10
248,PM,124,5,9,6.6
249,AM,125,5,9.8,9.1
250,PM,125,5,8.4,8.6
251,AM,126,5,14.8,9.8
252,PM,126,5,6,5
253,AM,127,5,11.6,12
254,PM,127,5,7.4,5.4
255,AM,128,5,12.6,10.8
256,PM,128,5,5.6,6.8
257,AM,129,5,11.2,9.8
258,PM,129,5,6,6.2
259,AM,130,5,13,9.6
260,PM,130,5,6,7
261,AM,131,5,13.2,9.8
262,PM,131,5,6.2,2
263,AM,132,5,12.6,13.8
264,PM,132,5,5.4,5.6
265,AM,133,5,12.4,10.6
266,PM,133,5,5,4.4
267,AM,134,5,13,10.4
268,PM,134,5,7.2,4.6
269,AM,135,5,13,10.4
270,PM,135,5,6,8
271,AM,136,5,12.6,9.2
272,PM,136,5,7.4,7.8
273,AM,137,5,11.8,11
274,PM,137,5,6.2,7.4
275,AM,138,5,12.2,11.8
276,PM,138,5,6.6,6.4
277,AM,139,5,12.4,11.4
278,PM,139,5,5.6,4.8
279,AM,140,5,13.2,12.4
280,PM,140,5,4.8,5
281,AM,141,5,14,11.4
282,PM,141,5,5.6,5.8
283,AM,142,5,14,12.8
284,PM,142,5,7.6,6.2
285,AM,143,5,12.6,11
286,PM,143,5,6.6,4.8
287,AM,144,5,13.2,12.6
288,PM,144,5,6.2,5
289,AM,145,5,13.2,12
290,PM,145,5,6.4,5.4
291,AM,146,5,13.4,12
292,PM,146,5,5.4,7
293,AM,147,5,14.2,11.2
294,PM,147,5,5,5.8
295,AM,148,5,13.2,13.2
296,PM,148,5,5.8,4.4
297,AM,149,5,12,13
298,PM,149,5,5.8,7.8
299,AM,150,5,12.2,9
300,PM,150,5,4.8,8.6
301,AM,151,5,12.2,11.4
302,PM,151,5,5.8,4.6
303,AM,152,5,10.4,10.8
304,PM,152,5,5.6,7.4
305,AM,153,5,12.6,8.4
306,PM,153,6,5.8,6
307,AM,154,6,12,12.6
308,PM,154,6,4.6,6
309,AM,155,6,12.8,11.6
310,PM,155,6,4.8,5
311,AM,156,6,10.4,10.4
312,PM,156,6,4.6,6.6
313,AM,157,6,9.8,11
314,PM,157,6,6.2,5.6
315,AM,158,6,11.6,10.2
316,PM,158,6,5.6,6.2
317,AM,159,6,11.2,11.4
318,PM,159,6,5,4.8
319,AM,160,6,9.6,11.2
320,PM,160,6,5,6.2
321,AM,161,6,10.6,8.8
322,PM,161,6,5.2,7.4
323,AM,162,6,,11.8
324,PM,162,6,,6
