NNP1,SolNET,LunitaNET,AceradaNET,SolAM,LunitaAM,AceradaAM,SolPM,LunitaPM,AceradaPM
239,9.8,9,11.2,6.8,6,4.2,3,3,7
240,6.2,9.2,10.2,4.8,6.2,4.2,1.4,3,6
241,8.8,9,10,5.8,6.4,3,3,2.6,7
242,9.6,9.6,11,6,6.2,3.6,3.6,3.4,7.4
243,9.4,9.8,11.4,6.2,6.8,4.2,3.2,3,7.2
244,8.1,9.4,13,5.8,5.4,5,2.3,4,8
245,8.4,9.8,11,6,5.8,3.8,2.4,4,7.2
246,8.4,10,12.6,3.4,6,5,5,4,7.6
247,5.4,10,9.4,3.4,5.8,3.2,2,4.2,6.2
248,7.8,11.4,12.4,5.8,8.2,3.4,2,3.2,9
249,7.6,8.6,11,5.4,5.6,4,2.2,3,7
250,8.6,6,12,6.4,4,4,2.2,2,8
251,8.8,7.8,9,6.2,5.8,3,2.6,2,6
252,8.2,7.2,10,6.2,5.2,4,2,2,6
253,7,7.4,12,5.2,5.2,4,1.8,2.2,8
254,8,6.4,11.6,6,4.2,4.6,2,2.2,7
255,9,7.6,11.4,5,5.2,4,4,2.4,7.4
256,7.6,8.2,11.6,5.6,6,3.6,2,2.2,8
257,7.8,7,9,5.4,5,4,2.4,2,5
258,5.7,7.6,8,4.2,4.6,3,1.5,3,5
259,7,8.4,8,5,5.4,3,2,3,5
260,6,7,10.4,4,5,3.4,2,2,7
261,7.2,9,11,5.2,5,4,2,4,7
262,9.2,7,11,7,5,3,2.2,2,8
263,6.6,9,11.5,4,6,4,2.6,3,7.5
264,7.2,8.8,12.5,5,6,4.5,2.2,2.8,8
265,8,7.6,11.4,6,6.4,3.4,2,1.2,8
266,7,5.2,9,4,3.2,4,3,2,5
267,7,8.4,9.6,4,6.4,5.6,3,2,4
268,8,9.8,8,3,6.8,3,5,3,5
269,6.6,10.6,7,4.6,7,3,2,3.6,4
270,8,10.4,8.4,5.2,6.4,3,2.8,4,5.4
271,7.2,9.6,10,5.4,5.6,2.6,1.8,4,7.4
272,7.2,9.8,8.8,5.2,6.2,3.2,2,3.6,5.6
273,6,9.4,9.2,4,6,4,2,3.4,5.2
274,7.2,10.2,9,4,6.8,3.2,3.2,3.4,5.8
275,6.7,9.8,10.6,4.2,6.4,4.6,2.5,3.4,6
276,5.6,9.6,8.4,2.4,6.8,2.8,3.2,2.8,5.6
277,8,9.2,7.8,5,6.2,3,3,3,4.8
278,9,6.4,5,6,4.2,2.6,3,2.2,2.4
279,7.8,8.8,9.2,5.6,5,2.8,2.2,3.8,6.4
280,8.4,7,7.6,5,4.4,2,3.4,2.6,5.6
281,4.5,5.2,8.8,1.5,2.8,3.2,3,2.4,5.6
282,5.8,7.3,8.6,3,4.8,3,2.8,2.5,5.6
283,3,7,8.4,1,4.6,3.2,2,2.4,5.2
284,4,6.6,8.2,2,4.6,2.6,2,2,5.6
285,4.2,6.8,6.6,1.8,4.8,2.6,2.4,2,4
286,7.2,6.8,7.8,4,4.8,2.8,3.2,2,5
287,2.6,6,10.6,1,4,5.6,1.6,2,5
288,4.8,6.4,7.05,2.4,4.4,2.4,2.4,2,4.65
289,4.1,6.2,4,1.1,4,0,3,2.2,4
290,3,5.8,2.6,1,3.8,2.6,2,2,0
291,4.5,6,5.6,1.5,4,4.6,3,2,1
292,4,5.4,4.4,1,3.2,2.8,3,2.2,1.6
293,4,6.4,5.6,2,4,4,2,2.4,1.6
294,3.5,6.1,6,1.5,4.1,4,2,2,2
295,2.9,5,6.1,0.5,4,4.3,2.4,1,1.8
296,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0,0
