NNP5,GuapaNET,AndreaNET,GuapaAM,AndreaAM,GuapaPM,AndreaPM
144,11.4,15.4,3.6,11.2,7.8,4.2
145,13.2,12.2,4.2,9.4,9,2.8
146,12.4,14.2,4.6,9.2,7.8,5
147,12.8,17.2,4.4,11.4,8.4,5.8
148,12,14.2,4.2,9.6,7.8,4.6
149,10.2,18,2.4,12,7.8,6
150,13.6,14.6,3.8,9,9.8,5.6
151,12.2,17,3.8,10.4,8.4,6.6
152,11.6,14.6,4,9.4,7.6,5.2
153,12,12.2,3.8,7.6,8.2,4.6
154,9.2,7,3.6,1.2,5.6,5.8
155,10,19.8,2.6,10.1,7.4,9.7
156,7.3,14.4,3.6,10,3.7,4.4
157,11.4,14.4,3.6,10,7.8,4.4
158,11.1,18,4.4,12,6.7,6
159,8.9,14.8,2.9,10.2,6,4.6
160,3.6,16.6,3.6,11.6,0,5
161,6.6,14.6,0,10,6.6,4.6
162,12.2,13.7,3.2,9.3,9,4.4
163,10.4,14.4,3,9,7.4,5.4
164,11.2,16.8,3,11.8,8.2,5
165,11.6,13.2,2.8,8,8.8,5.2
166,13.4,15.4,4.4,11.4,9,4
167,12,16.6,3.4,8.4,8.6,8.2
168,11.4,15.2,2.4,11.2,9,4
169,12.4,13.3,3.8,8.9,8.6,4.4
170,12.4,15.6,4,11,8.4,4.6
171,11.6,15.8,3.6,10.6,8,5.2
172,10.3,13.6,4,9,6.3,4.6
173,10.9,13.8,3.3,8.8,7.6,5
174,11.2,13.6,0,10,11.2,3.6
175,12,13.6,4.4,9.2,7.6,4.4
176,13.2,13.2,6.2,9.2,7,4
177,10.2,13.6,3.4,10,6.8,3.6
178,12.8,10.6,3.4,6.4,9.4,4.2
179,7.9,13.8,0,9.8,7.9,4
180,13.6,13.6,4,9.8,9.6,3.8
181,11.4,14.4,4.4,10.4,7,4
182,11.6,11.4,3.2,6.8,8.4,4.6
183,11.6,12.4,3.8,8,7.8,4.4
184,12.8,13.8,3.6,8,9.2,5.8
185,12.4,9.6,3.6,7.4,8.8,2.2
186,11.9,12,4,8.6,7.9,3.4
187,12.3,13.8,4.1,9,8.2,4.8
188,11.6,12.4,3.6,8.2,8,4.2
189,11.4,13.2,3,9.6,8.4,3.6
190,11.6,13.4,3.4,8.9,8.2,4.5
191,11.6,13,3,9,8.6,4
192,11,12.2,3.2,9.6,7.8,2.6
193,12.2,13.4,3.8,8.8,8.4,4.6
194,12,11.6,4,8.6,8,3
195,11,13.8,3.2,10.4,7.8,3.4
196,11.7,13.8,4.5,10.8,7.2,3
197,12.4,12.6,4,8.5,8.4,4.1
198,12.4,13.8,3.8,9.8,8.6,4
199,12.4,14,3,10.2,9.4,3.8
200,11.7,13.6,4.4,9.8,7.3,3.8
201,12.6,13.8,4.4,9.4,8.2,4.4
202,11.8,13,4.4,9,7.4,4
203,11.4,12,3,8.6,8.4,3.4
204,11.6,13.1,4,8.1,7.6,5
205,12,12,3.6,8.2,8.4,3.8
206,11.8,12,4.2,9.2,7.6,2.8
207,12.5,16.2,4.4,12.4,8.1,3.8
208,12.2,14.2,4.6,10.2,7.6,4
209,13.6,14.4,4,10.2,9.6,4.2
210,11.8,13.2,3.4,9.8,8.4,3.4
211,12,13.4,4.2,9.4,7.8,4
212,10.6,13,3.2,9.6,7.4,3.4
213,9.2,12.8,3,10,6.2,2.8
214,10.6,13.6,3.2,8.2,7.4,5.4
215,11.1,13,4.1,8.4,7,4.6
216,11.8,14,3.8,8.8,8,5.2
217,10.6,13.2,3.4,8.6,7.2,4.6
218,11.2,12,3.6,8,7.6,4
219,10.4,11.8,3.2,8.6,7.2,3.2
220,10.6,12.4,3.2,9.6,7.4,2.8
221,10.5,12.8,3.8,8.6,6.7,4.2
222,10.8,10.6,3.2,7.6,7.6,3
223,11.6,14.4,3.4,10,8.2,4.4
224,11,12.6,3.6,8.4,7.4,4.2
225,7.6,11.4,3.2,8,4.4,3.4
226,9.4,11.2,2.6,8,6.8,3.2
227,9.8,11.6,2.8,8.6,7,3
228,10.5,11.4,2.8,8.2,7.7,3.2
229,12.2,10,3.6,8,8.6,2
230,8.4,10.6,3.4,7,5,3.6
231,8.8,10.6,3.6,7.4,5.2,3.2
232,8.2,10.7,3,7.1,5.2,3.6
233,10,12.2,4,9,6,3.2
234,9.4,11,3.2,7.2,6.2,3.8
235,9.7,11.8,3.2,8.6,6.5,3.2
236,7.6,10.4,3,7.2,4.6,3.2
237,10,10.4,2.8,6.8,7.2,3.6
238,8.2,10.8,2.2,7.2,6,3.6
239,6.8,9.3,2.6,6.2,4.2,3.1
240,8,9.8,3,7,5,2.8
241,8.4,9.2,3,7.2,5.4,2
242,8.7,9.2,2.8,6.2,5.9,3
243,8.7,9.6,2.9,5.8,5.8,3.8
244,8,8.8,2.6,6,5.4,2.8
245,7.2,9,1.8,6,5.4,3
246,7.4,9.6,2.6,7,4.8,2.6
247,7.4,8,2.8,6,4.6,2
248,3.4,9.8,2.2,7.2,1.2,2.6
249,7.4,9.6,2.2,6.4,5.2,3.2
250,7.2,8,2.6,5.6,4.6,2.4
251,7.6,9,3,6.6,4.6,2.4
252,6.8,10.8,1.8,7.2,5,3.6
253,7.4,7.9,2.6,5.4,4.8,2.5
254,7.6,9.4,2.4,6.6,5.2,2.8
255,6,9.5,1.8,7.4,4.2,2.1
256,6.2,9,1.8,6.2,4.4,2.8
257,6.8,8.2,2.2,5.8,4.6,2.4
258,6.4,6.8,2,4.6,4.4,2.2
259,6,6.2,1.4,4.2,4.6,2
260,7.2,9.2,2.6,6.2,4.6,3
261,6.8,7.2,2,5,4.8,2.2
262,5.2,6.8,2,5,3.2,1.8
263,5.9,7.6,2,5,3.9,2.6
264,5,7.4,1.6,5,3.4,2.4
265,6.2,7.8,1.8,5.4,4.4,2.4
266,9.2,7.4,2.2,5,7,2.4
267,5.6,7.5,2,5,3.6,2.5
268,5,7.2,1.6,5,3.4,2.2
269,5.2,7.4,2,5.4,3.2,2
270,5.3,7.4,2.4,4.8,2.9,2.6
271,5.4,10.8,2,5.6,3.4,5.2
272,4.6,7.2,1,2.2,3.6,5
273,4.4,7.8,1.2,2.8,3.2,5
274,3.8,6.9,1.2,4.4,2.6,2.5
275,4.2,6.8,1.4,5,2.8,1.8
276,3.8,6,1.6,4.6,2.2,1.4
277,4.4,7.2,1.6,5,2.8,2.2
278,4,7.2,1,5,3,2.2
279,4,7.4,1.2,5,2.8,2.4
280,6.4,6.8,3.6,4.4,2.8,2.4
281,3.2,5.6,1,3.8,2.2,1.8
282,4,5.2,1,3.6,3,1.6
283,3.2,6.2,1,4.2,2.2,2
284,3.2,5.8,1.4,4,1.8,1.8
285,3.2,6,1,4,2.2,2
286,2.4,5.4,1,4,1.4,1.4
287,3.4,6,1,4,2.4,2
288,2.8,5,1,3.6,1.8,1.4
289,3.2,7.2,1,3,2.2,4.2
290,3.2,4.8,1,3.6,2.2,1.2
291,5.1,4.6,3.2,3.2,1.9,1.4
292,3,4.4,1,3,2,1.4
293,3.4,5.4,1,3.4,2.4,2
294,4.8,5.8,2.4,3.8,2.4,2
295,3.4,3.4,1,2.4,2.4,1
296,0,5.9,,3.2,,2.7
297,0,3.4,,2.4,,1
298,0,3.6,,2.6,,1
