NNP6,GuapaNET,AndreaNET,GuapaAM,AndreaAM,GuapaPM,AndreaPM
1,20.6,19,14,14,6.6,5
2,18,5.89,12,0,6,5.89
3,10,17.4,7,11.4,3,6
4,13,19.2,8,10.2,5,9
5,20,22.6,13.4,13.2,6.6,9.4
6,20.2,19,13.4,13.2,6.8,5.8
7,18.6,20,11.8,14,6.8,6
8,19.4,18.8,11.2,13,8.2,5.8
9,20.2,20.2,13,12.2,7.2,8
10,22.4,21.2,13.4,14.4,9,6.8
11,21,20.2,14.4,13.2,6.6,7
12,22.4,17.6,14.2,13.2,8.2,4.4
13,22.2,23.8,15,16.2,7.2,7.6
14,24.6,20.8,16.2,13.6,8.4,7.2
15,18.6,20,11,12.6,7.6,7.4
16,24.6,22,15.8,13,8.8,9
17,22.2,19.6,13.8,13.8,8.4,5.8
18,20.8,20.6,14,14.8,6.8,5.8
19,20.8,18.2,14,11.2,6.8,7
20,20.2,16.8,13.2,10.6,7,6.2
21,18.2,20.6,13,13.8,5.2,6.8
22,22.4,19.6,16,13,6.4,6.6
23,19.2,20.2,13,11.6,6.2,8.6
24,17.4,15.6,11.8,11,5.6,4.6
25,21.4,17.8,13.4,11.8,8,6
26,18,18.2,11.8,11,6.2,7.2
27,20.6,19.6,14,10,6.6,9.6
28,22.6,22.2,15.2,15,7.4,7.2
29,22,20.2,14.6,12.4,7.4,7.8
30,22.8,21.4,15,15.6,7.8,5.8
31,21.2,24.2,14.6,16,6.6,8.2
32,21.4,20.4,15.6,14,5.8,6.4
33,23.1,21,15.8,14,7.3,7
34,23.2,20.2,14.6,14.8,8.6,5.4
35,19.8,25.2,12.6,14.6,7.2,10.6
36,21.8,19,15,15,6.8,4
37,22.2,22.4,15,14,7.2,8.4
38,23,20.6,15.2,11.6,7.8,9
39,23,20.4,15.2,13.4,7.8,7
40,22.2,19.8,14.8,12.8,7.4,7
41,21.8,22.1,14.6,15.1,7.2,7
42,20.8,25.6,14.6,15.6,6.2,10
43,20.8,25.6,14.2,17.6,6.6,8
44,18.4,20.2,12.2,13.4,6.2,6.8
45,22.6,19.6,16,10.8,6.6,8.8
46,20.6,20.8,13.8,13.2,6.8,7.6
47,18.6,20.8,12,14.8,6.6,6
48,23.8,20,15.8,13.2,8,6.8
49,23.8,23.6,16.2,15.8,7.6,7.8
50,25.6,23.4,17.2,16.2,8.4,7.2
51,22.6,22.2,15.4,17,7.2,5.2
52,21.4,26,14.2,16,7.2,10
53,23.2,18.6,16,12.8,7.2,5.8
54,23.5,23.6,14.4,15.8,9.1,7.8
55,24,22.4,15.8,14.1,8.2,8.3
56,22,22.8,15.8,14.2,6.2,8.6
57,22.4,19.2,15.2,11.4,7.2,7.8
58,21.2,19,13.4,11,7.8,8
59,23.4,21.4,16,14.4,7.4,7
60,18.2,21,14,14.2,4.2,6.8
61,21.7,17.8,15.9,9,5.8,8.8
62,20.4,16.5,14.4,12.2,6,4.3
63,22.8,25,16.4,18.8,6.4,6.2
64,22.6,21.4,15,15.2,7.6,6.2
65,22.4,21.2,15.2,14.2,7.2,7
66,21.8,21.8,15,15,6.8,6.8
67,23.4,18.4,15.4,13.4,8,5
68,20.8,21.6,14,13,6.8,8.6
69,21.4,17.8,14,11.4,7.4,6.4
70,20.8,20.4,14.6,13,6.2,7.4
71,19.8,18.6,13,10,6.8,8.6
72,21.4,18,13.8,12,7.6,6
73,21.6,17.8,14.2,12.4,7.4,5.4
74,18.6,19,12,15,6.6,4
75,21.3,21.4,14,16,7.3,5.4
76,21.6,17.8,14,9.6,7.6,8.2
77,19.8,20.8,13,14.6,6.8,6.2
78,21,20,15,13,6,7
79,16.6,21.6,11.2,14.8,5.4,6.8
80,20.2,20.6,14,14,6.2,6.6
81,22,18.8,15,13.2,7,5.6
82,21.4,20.2,14.2,12.4,7.2,7.8
83,20.6,18.3,14.6,12.2,6,6.1
84,20,19,13,11.8,7,7.2
85,22.2,20,15,12.8,7.2,7.2
86,21.2,21.6,14.4,13.4,6.8,8.2
87,20.8,20.6,14.2,13,6.6,7.6
88,19.8,19.2,14.8,12.2,5,7
89,20.3,17,13.1,10.8,7.2,6.2
90,22,18.3,15.2,12.3,6.8,6
91,20.2,20.8,13.8,15.4,6.4,5.4
92,22.2,19.1,15.4,12.3,6.8,6.8
93,19.4,14.7,12.8,10.5,6.6,4.2
94,20.2,17.2,13.4,12,6.8,5.2
95,16.6,17.8,10,11,6.6,6.8
96,20.2,18,13.8,12.8,6.4,5.2
97,18.6,18.4,12.4,11.5,6.2,6.9
98,18.8,16.2,12.6,12,6.2,4.2
99,19.6,20.2,12.6,13.8,7,6.4
100,17,16.6,11.2,12,5.8,4.6
101,18.4,16.2,13,8,5.4,8.2
102,18,15.4,12.4,7.8,5.6,7.6
103,18.6,15.6,11.7,11.4,6.9,4.2
104,19.6,18.3,13.8,11.9,5.8,6.4
105,18,21,12,14,6,7
106,17.8,16,13,12,4.8,4
107,18.2,18,13.4,14,4.8,4
108,20.2,19.4,13.4,13.2,6.8,6.2
109,19.6,18,13.8,12,5.8,6
110,18.6,17.4,12.2,11.8,6.4,5.6
111,21.6,16.3,15.2,11,6.4,5.3
112,19.6,19.2,13.2,13,6.4,6.2
113,18.4,15.4,12.4,10.6,6,4.8
114,15.4,18.4,10.2,11.2,5.2,7.2
115,18.4,16.6,12.2,11,6.2,5.6
116,18.6,17.2,14.2,12,4.4,5.2
117,16.8,18.2,11.8,10.8,5,7.4
118,17.4,17.3,10.8,11.1,6.6,6.2
119,17.6,16.6,12.2,10.6,5.4,6
120,18.4,17,12.6,11,5.8,6
121,20.8,17.6,14.2,11.2,6.6,6.4
122,18.2,18,12,12.4,6.2,5.6
123,19.6,18.4,11.8,12,7.8,6.4
124,19.8,16.6,10.8,10,9,6.6
125,18.2,17.7,9.8,9.1,8.4,8.6
126,20.8,14.8,14.8,9.8,6,5
127,19,17.4,11.6,12,7.4,5.4
128,18.2,17.6,12.6,10.8,5.6,6.8
129,17.2,16,11.2,9.8,6,6.2
130,19,16.6,13,9.6,6,7
131,19.4,11.8,13.2,9.8,6.2,2
132,18,19.4,12.6,13.8,5.4,5.6
133,17.4,15,12.4,10.6,5,4.4
134,20.2,15,13,10.4,7.2,4.6
135,19,18.4,13,10.4,6,8
136,20,17,12.6,9.2,7.4,7.8
137,18,18.4,11.8,11,6.2,7.4
138,18.8,18.2,12.2,11.8,6.6,6.4
139,18,16.2,12.4,11.4,5.6,4.8
140,18,17.4,13.2,12.4,4.8,5
141,19.6,17.2,14,11.4,5.6,5.8
142,21.6,19,14,12.8,7.6,6.2
143,19.2,15.8,12.6,11,6.6,4.8
144,19.4,17.6,13.2,12.6,6.2,5
145,19.6,17.4,13.2,12,6.4,5.4
146,18.8,19,13.4,12,5.4,7
147,19.2,17,14.2,11.2,5,5.8
148,19,17.6,13.2,13.2,5.8,4.4
149,17.8,20.8,12,13,5.8,7.8
150,17,17.6,12.2,9,4.8,8.6
151,18,16,12.2,11.4,5.8,4.6
152,16,18.2,10.4,10.8,5.6,7.4
153,18.4,14.4,12.6,8.4,5.8,6
154,16.6,18.6,12,12.6,4.6,6
155,17.6,16.6,12.8,11.6,4.8,5
156,15,17,10.4,10.4,4.6,6.6
157,16,16.6,9.8,11,6.2,5.6
158,17.2,16.4,11.6,10.2,5.6,6.2
159,16.2,16.2,11.2,11.4,5,4.8
160,14.6,17.4,9.6,11.2,5,6.2
161,15.8,16.2,10.6,8.8,5.2,7.4
162,0,17.8,0,11.8,0,6
