NNP2,GinaNET,JuanitaNET,VivianaNET,DianitaNET,LuciaNET,SolNET,PachaNET,GinaAM,JuanitaAM,VivianaAM,DianitaAM,LuciaAM,SolAM,PachaAM,GinaPM,JuanitaPM,VivianaPM,DianitaPM,LuciaPM,SolPM,PachaPM
56,16.2,8,12.7,22,17.8,17,19.8,12,5,6.3,7,10,9.2,12.2,4.2,3,6.4,15,7.8,7.8,7.6
57,19.4,8,14.4,20.6,20.6,15,18.2,13,5,5,6.8,6.6,9,10.6,6.4,3,9.4,13.8,14,6,7.6
58,17.2,7.2,18,20.4,19.6,13.2,17.6,11.2,4,6,6.4,12,9,10.8,6,3.2,12,14,7.6,4.2,6.8
59,21,9,22.6,18.4,16.8,17,17,15,6,7,6.4,10.8,11,11,6,3,15.6,12,6,6,6
60,20.8,8.8,19.05,16.6,17.8,12,17.6,13.8,5.8,7.65,6,12,7,10.2,7,3,11.4,10.6,5.8,5,7.4
61,19.6,8,18,21.6,19.4,15.4,19.6,13.2,5,7,8.6,9,11.4,10,6.4,3,11,13,10.4,4,9.6
62,19.2,8.8,18,20,16.6,17.4,17.2,14,6,8,5,10,11,11.4,5.2,2.8,10,15,6.6,6.4,5.8
63,18.4,9.6,17,21,15.4,16,15.8,13.4,5.6,7,5,10.4,11.4,11,5,4,10,16,5,4.6,4.8
64,17.6,9.2,18,17.2,15.4,8.5,16.6,12,6.2,7.2,6.2,12,6,10,5.6,3,10.8,11,3.4,2.5,6.6
65,19,8.6,17.2,21.8,15,12.4,8.2,13,6,6.4,9.8,10,8,0,6,2.6,10.8,12,5,4.4,8.2
66,19,8.4,20,18,15,12,18.2,14,5,8,5,9,7,11,5,3.4,12,13,6,5,7.2
67,20,11,15.4,21.6,14.8,11.6,16.4,14,5,5.4,6,10.4,8,11,6,6,10,15.6,4.4,3.6,5.4
68,18.6,7.4,17.8,17,16.2,15,17.8,13.4,4,6.6,4,8.2,10,10,5.2,3.4,11.2,13,8,5,7.8
69,19,7,15.4,19,15,16,19,14,4,5.4,6,8,8,11,5,3,10,13,7,8,8
70,18.6,4.8,18,19.6,15.4,16.4,16.4,13.4,2,7,7,9,7.6,10.6,5.2,2.8,11,12.6,6.4,8.8,5.8
71,19.4,6,15.1,18,16.4,13.6,16.8,13.6,4,6,7,10.4,9.8,10.8,5.8,2,9.1,11,6,3.8,6
72,19.2,7.9,16.2,17.6,15.5,14.2,16.2,13.6,5,6,6.4,8.3,10.2,10,5.6,2.9,10.2,11.2,7.2,4,6.2
73,19,7.8,16.8,21.2,17.4,13.8,15.8,13,5.6,7.4,7.8,12,9.8,9.8,6,2.2,9.4,13.4,5.4,4,6
74,20.2,7,16.8,19,17,15.6,15.8,15,5,6.8,6,11,10,10.2,5.2,2,10,13,6,5.6,5.6
75,20.4,7.4,13,19.6,12.2,15.2,15.6,13.6,4.4,6,7,8,9.2,9.6,6.8,3,7,12.6,4.2,6,6
76,20,6.2,13.9,20.2,13.5,15.2,14.3,14.4,4,5.8,7.2,8.5,9.4,8.8,5.6,2.2,8.1,13,5,5.8,5.5
77,17,6.4,17,20.8,15.6,11.2,9,11,4,7,6.6,9,8,9,6,2.4,10,14.2,6.6,3.2,0
78,18.4,6,15.4,13.6,15.2,13.2,15,13,4,5.4,6.2,10.2,9.2,9.4,5.4,2,10,7.4,5,4,5.6
79,18.2,6.6,18,18.4,12.8,10.6,16,11.8,4.4,8,7.6,8.8,5.8,10,6.4,2.2,10,10.8,4,4.8,6
80,21,7,15.2,20.6,14.8,8.2,16,14,4,5,6,9.4,8.2,10.2,7,3,10.2,14.6,5.4,0,5.8
81,19.2,7.4,15.8,18.4,14.4,15.4,14.4,13.2,4.4,5.8,4.6,10.8,11.2,8.8,6,3,10,13.8,3.6,4.2,5.6
82,21.8,7.6,15.3,21.2,14.6,12.2,14,13.2,5.6,4.8,7.4,10,8.2,9.8,8.6,2,10.5,13.8,4.6,4,4.2
83,21.4,8,14.2,16.6,15.2,14.2,14.2,14.4,6,5,2.6,10.6,10,9.2,7,2,9.2,14,4.6,4.2,5
84,18.8,8.4,15.6,15,19,18.4,13.8,13.8,6,4.6,5,11.8,9.4,9,5,2.4,11,10,7.2,9,4.8
85,20,6,15.5,15.6,14.6,14.6,15.8,13,4,5,5,11.4,9,10.2,7,2,10.5,10.6,3.2,5.6,5.6
86,20.4,8,17.8,14.8,16.4,15,14.8,13,6,7,5,9.8,9,9.4,7.4,2,10.8,9.8,6.6,6,5.4
87,22,7,15.2,14.8,9.7,14.6,14.8,14,5,4.4,2.8,5.2,9.6,9.8,8,2,10.8,12,4.5,5,5
88,20,6.2,15.6,16.8,13.2,13.4,12.6,15,4,5.6,4.8,7.8,7.4,7.4,5,2.2,10,12,5.4,6,5.2
89,21.2,7,15.2,17.6,10.8,14,14,14.2,5,6,6.6,5.8,6,8.8,7,2,9.2,11,5,8,5.2
90,19,8,14,20.4,16,15,14.4,13,5,4,7.8,10,10,9.8,6,3,10,12.6,6,5,4.6
91,20.3,8.2,16,19,16,15.6,13.8,14.8,6,6,5,9,10,9,5.5,2.2,10,14,7,5.6,4.8
92,19,8.4,16.6,15.4,18.2,15.6,15.8,12,5,5,4,11.2,9.8,10.4,7,3.4,11.6,11.4,7,5.8,5.4
93,18,7.6,17,16.4,14.8,16.8,15,12,4.6,7,4.8,8,10.4,10,6,3,10,11.6,6.8,6.4,5
94,17.4,6.6,17.2,14,14.1,16,14.4,12.4,4.6,7,5,7.3,10,9.8,5,2,10.2,9,6.8,6,4.6
95,20.6,7.4,20,18,13.6,15.6,14,14,5,10,7,9.6,10,10,6.6,2.4,10,11,4,5.6,4
96,20,8,16,16.2,16.8,12.8,12.2,13,6,6,5,11.2,8.8,8.8,7,2,10,11.2,5.6,4,3.4
97,20.2,7,15.2,18.4,15.6,15.4,16,14.2,5,5.4,6.4,10,8.4,11,6,2,9.8,12,5.6,7,5
98,21.4,6.4,15,17.4,15,14.6,12.6,14.6,5,5,6.4,10,9.6,8.2,6.8,1.4,10,11,5,5,4.4
99,18.6,6.6,15,16.4,11,15.6,13.8,12,4.6,5,5,8,10.8,8.8,6.6,2,10,11.4,3,4.8,5
100,19.4,6.6,16,16,15.4,17,14.8,12.6,4.6,6,5,9.4,10.6,9.4,6.8,2,10,11,6,6.4,5.4
101,18,7,17.2,19,12.2,13.4,14.9,11,4,5,7,6.8,10.2,10,7,3,12.2,12,5.4,3.2,4.9
102,20,6.4,15.8,18.6,11.6,16.6,14.6,13,4,5,7.4,8,11.6,9.6,7,2.4,10.8,11.2,3.6,5,5
103,20.4,7.4,16.2,17,14.2,16.2,14.2,12.4,5,5.2,6,9.2,11,9.3,8,2.4,11,11,5,5.2,4.9
104,20.4,7,20,16,12.6,15.2,14.4,11.4,5,6,5,8.2,10.6,9.2,9,2,14,11,4.4,4.6,5.2
105,21.4,6.6,15.6,18,15.4,14.06,14.8,14.4,4.6,5,5,9.6,7.66,8,7,2,10.6,13,5.8,6.4,6.8
106,20,6.8,13.5,20,12.6,15.4,12.6,14,4.4,4.1,7,7.6,11,8.6,6,2.4,9.4,13,5,4.4,4
107,20,7.4,15.2,16.4,12.5,13.4,12.8,11,4.4,6.2,6.4,8.3,10,8.4,9,3,9,10,4.2,3.4,4.4
108,20.8,7.8,14.2,19.5,14.2,14.8,13.4,14,5,4.2,6.4,8,11.2,9.2,6.8,2.8,10,13.1,6.2,3.6,4.2
109,23.4,7.4,15.4,15.1,13.2,10.2,16.8,14,4,5.4,5.1,8.2,10.2,10.8,9.4,3.4,10,10,5,0,6
110,22,8.4,14.2,18.6,14.6,14.4,12.7,15,5.4,5,6,7.6,9.4,8.2,7,3,9.2,12.6,7,5,4.5
111,20.8,7,13.4,17.3,12.8,12.6,13.4,14.8,5,3.8,5.6,7,9.4,8,6,2,9.6,11.7,5.8,3.2,5.4
112,20.6,8,13.2,17,11.4,12.8,0,13.6,5,5,5.4,6.2,9.4,0,7,3,8.2,11.6,5.2,3.4,0
113,19.2,6.4,15,16.8,12.8,11,11,13,4.4,5,4.8,8.4,7,7.8,6.2,2,10,12,4.4,4,3.2
114,17.2,9,12.8,18,10.8,13,12.8,11,6,4.8,5.4,5.8,7.4,8.4,6.2,3,8,12.6,5,5.6,4.4
115,21,9.4,15.2,16.6,10.8,11.2,14,13,6.4,6,5.6,6.4,7.2,10.2,8,3,9.2,11,4.4,4,3.8
116,19.6,8.6,15.2,18.6,13,11.8,13.6,13.8,6,5.2,6.6,8,8,8.8,5.8,2.6,10,12,5,3.8,4.8
117,21.4,9.8,16,15.6,13,13.2,14.5,13.7,4.8,5,3.6,9,9,9.8,7.7,5,11,12,4,4.2,4.7
118,20.6,4,13.2,21.3,11,12.2,11.6,13,4,5.2,8,7.4,9,8,7.6,0,8,13.3,3.6,3.2,3.6
119,19.4,7,16,19,13,11.2,13.2,13,5,5,6,9,8,9,6.4,2,11,13,4,3.2,4.2
120,20.8,9.2,13.4,18,14,11.4,11,10.6,5.2,4,6,10,7.4,7,10.2,4,9.4,12,4,4,4
121,18.4,8,15,15.8,13,14,11,11.2,4,6,5,7,8,7,7.2,4,9,10.8,6,6,4
122,18,7.4,13.2,15,14,13.8,12.4,12,5,4,4,9,8.8,9.4,6,2.4,9.2,11,5,5,3
123,18.2,8,16,12,14,11.8,15.6,12.4,5,6,6,10,7.6,11,5.8,3,10,6,4,4.2,4.6
124,13.6,6.6,11.5,20.6,14.8,12,10.8,7.3,4.6,3.4,6.6,10,8.4,7.4,6.3,2,8.1,14,4.8,3.6,3.4
125,19.6,7.2,12,14.3,13.8,12.8,9.6,14.6,5.4,3,5,9.4,6.6,9.6,5,1.8,9,9.3,4.4,6.2,0
126,20,8,11,17.6,15.4,12.4,15.8,15,6,5,5.6,10,9,9.6,5,2,6,12,5.4,3.4,6.2
127,14.2,8.4,15,14.6,16,12.8,10.6,14,5.4,7,4.6,9.4,9,6.4,0.2,3,8,10,6.6,3.8,4.2
128,19.6,8.4,13,16.5,14.2,13.4,13.8,15,5.4,5,7.4,9.2,9,8.8,4.6,3,8,9.1,5,4.4,5
129,16,8.8,12,12.4,13.4,14.2,13.6,13,5.8,4,6,9.2,9,9.2,3,3,8,6.4,4.2,5.2,4.4
130,18.2,7,14,17.2,13,15,10.2,14,5,4,6.2,9.2,9.2,10.2,4.2,2,10,11,3.8,5.8,0
131,12,8.4,12,17.7,17.2,14.8,12.7,8,5.4,4,5.4,11.6,10,8.5,4,3,8,12.3,5.6,4.8,4.2
132,12.6,7.6,12,18,16.2,4.6,11.6,9.6,5,4,4.4,10.4,0,7.8,3,2.6,8,13.6,5.8,4.6,3.8
133,11,8,12,17.6,17.6,10.6,12.8,8,5,4,5.6,11.4,10.6,10.4,3,3,8,12,6.2,0,2.4
134,17,8,14,15.9,16.4,12.6,12,10,5,4,5.5,8.8,6.2,8.2,7,3,10,10.4,7.6,6.4,3.8
135,14,7.2,13,17,15.4,15.2,10,9,4.2,4,5.8,10,9.2,5.8,5,3,9,11.2,5.4,6,4.2
136,20.8,7,13,16,14,15.8,14,9.8,3,5,7,9.8,9.8,10.2,11,4,8,9,4.2,6,3.8
137,20.6,11.4,13.6,15.6,17,14.8,13,12.6,9,3.6,5,11.6,10.2,8.2,8,2.4,10,10.6,5.4,4.6,4.8
138,20.3,5,12.2,18.6,13.2,16,12.7,12.3,5,3,5.6,7.8,11,8.8,8,0,9.2,13,5.4,5,3.9
139,17,7.4,12.8,16.6,14,15.6,12.6,12.6,5.4,4.8,5.6,9.8,9.8,9.2,4.4,2,8,11,4.2,5.8,3.4
140,16.4,6,12.2,15.2,16.4,16.4,13.6,9.8,4,4.2,5.2,11,10.8,10,6.6,2,8,10,5.4,5.6,3.6
141,17.6,9,13,14.8,14.6,13,12.6,11.2,5,3,4,9.6,8,8,6.4,4,10,10.8,5,5,4.6
142,18.4,8.4,11,17.8,17.4,9.6,11.6,11,4.4,3.4,6,12,6.4,8.6,7.4,4,7.6,11.8,5.4,3.2,3
143,15.8,8,11,11.2,14.6,14.2,11.8,9,6,4,5,10,8.2,10,6.8,2,7,6.2,4.6,6,1.8
144,15.8,8.2,13,15,13.8,11.6,14.8,10.4,5.6,5,3.4,9.4,8.2,9.4,5.4,2.6,8,11.6,4.4,3.4,5.4
145,15.1,7.6,12.6,18.2,16.2,13.4,13.1,7.2,5.6,3.8,6,10,9.4,8.7,7.9,2,8.8,12.2,6.2,4,4.4
146,16.4,8.4,12,15.7,12,11.4,17.4,8.6,5.4,4,5.7,8,8.4,8.4,7.8,3,8,10,4,3,9
147,15.6,8.4,11.6,14.6,12.4,13,12,10.4,6,3.8,3.8,8,9,9,5.2,2.4,7.8,10.8,4.4,4,3
148,15,7,12.2,12,11.8,11.2,13,10,4,4,3,8.8,7,9.8,5,3,8.2,9,3,4.2,3.2
149,16.6,9.2,11.6,18.4,11,11,13.6,11.4,5.2,4.6,7,7,6,10,5.2,4,7,11.4,4,5,3.6
150,15,7.8,14.6,17,14.4,15,11.2,10,4.4,5.6,5,10.4,10,8.2,5,3.4,9,12,4,5,3
151,17,6.8,19,17.4,15.8,13.4,15.2,12,4.8,4,5,10.8,9,11,5,2,15,12.4,5,4.4,4.2
152,13.6,7,13.6,16.9,14,15,13.2,8.6,5,6,4.7,9,10,8.6,5,2,7.6,12.2,5,5,4.6
153,16,6.4,13,18,13,13.8,12.6,11,4.4,4,6,9,9,7.6,5,2,9,12,4,4.8,5
154,17.9,9,12.4,14.8,14,13.2,12,11,6,4.2,6,9,10,8.2,6.9,3,8.2,8.8,5,3.2,3.8
155,14.4,7.8,12.8,11.2,17,19,14,8,5,5,4.2,10,12.4,8.8,6.4,2.8,7.8,7,7,6.6,5.2
156,14.6,7.8,13.2,14.8,16,16.4,11.6,9.8,3,5,5.8,11,10,7.8,4.8,4.8,8.2,9,5,6.4,3.8
157,14.2,6.2,14.8,15.8,15,15.4,12.6,10,4.2,4.8,3,8,10.4,6.4,4.2,2,10,12.8,7,5,6.2
158,13.8,7,13.4,17.2,14.4,16.6,14.4,9.8,4,5.2,4.2,9.4,11.6,10,4,3,8.2,13,5,5,4.4
159,9.2,8.2,14.2,13.4,15,16,13.5,7,4.8,4.2,6.4,9,11.2,8.9,2.2,3.4,10,7,6,4.8,4.6
160,14,8,12.2,20.4,11.4,15,14.8,9,5,4,8,8,9,10,5,3,8.2,12.4,3.4,6,4.8
161,13.8,7,12.2,19.4,12.2,14.2,13.8,9,5,4,7,7.6,8.2,9.6,4.8,2,8.2,12.4,4.6,6,4.2
162,13.4,7,12,18,12,0,13.2,8.4,4.6,4,7.4,7.8,0,9,5,2.4,8,10.6,4.2,0,4.2
163,15,7,12.2,19,11.4,0,12.2,9,4,4,7,7.8,0,8,6,3,8.2,12,3.6,0,4.2
164,12,6,13.6,17.8,10.8,0,12,8.2,4,4.6,5.8,6.4,0,7.8,3.8,2,9,12,4.4,0,4.2
165,11.2,8,13,17.2,12,0,10.6,7,5,4.2,5.8,8,0,6.6,4.2,3,8.8,11.4,4,0,4
166,14,7.4,12,15.8,12.6,0,11.2,10,5,4,5.8,9.2,0,7.2,4,2.4,8,10,3.4,0,4
167,13,6.8,13.6,16.4,12.6,0,12.4,9,4.8,3.6,4.2,8.6,0,9,4,2,10,12.2,4,0,3.4
168,14.8,10,13.6,14.4,13,0,13.2,10.8,7,3.6,4.6,8,0,9.6,4,3,10,9.8,5,0,3.6
169,14.4,7.6,12.2,13.2,12.6,12,10.7,10,5,4.2,4.8,8.2,8,7.2,4.4,2.6,8,8.4,4.4,4,3.5
170,15,8,12,16.6,12.6,14,12,10,4,4,7,8.4,7,8,5,4,8,9.6,4.2,7,4
171,14.2,6.6,12.8,14.4,13,13,10,8,4,3.8,5.4,8.4,10,6.8,6.2,2.6,9,9,4.6,3,3.2
172,14.4,7.4,14.2,16.8,12.4,8.4,12.8,9.6,4.2,5.2,5,8,5,9.2,4.8,3.2,9,11.8,4.4,3.4,3.6
173,13,6.4,14,14.8,13.7,12,10.3,8,4.4,5,5.8,8.7,8,6.8,5,2,9,9,5,4,3.5
174,11.8,8.4,10,16.2,11,12,10.6,8.8,5.4,3,5.6,7,8,7,3,3,7,10.6,4,4,3.6
175,14.6,7.6,12.2,14.6,13,12.6,10.8,10,5.2,4.4,5,8,7.6,7.4,4.6,2.4,7.8,9.6,5,5,3.4
176,14.6,6,12,15,12,12,10.4,9.2,4,4,5,8,8,7.2,5.4,2,8,10,4,4,3.2
177,17.7,6,12,10,13.8,13,8,11.2,4,3.8,4,9.8,9,5.4,6.5,2,8.2,6,4,4,2.6
178,15.6,6,10.4,15,11.8,9,11.4,9.8,4,4.4,5,7.4,6,7.8,5.8,2,6,10,4.4,3,3.6
179,14.4,6.4,14,21.4,12.2,13,11,9.6,4.4,6,6.4,8,9,8.4,4.8,2,8,15,4.2,4,2.6
180,10.8,6.8,13,16,11.6,10,11.8,7.8,4.8,5,5,8,2,8.1,3,2,8,11,3.6,8,3.7
181,12.8,7,11.2,16.8,12.8,14,11.6,8,5,4,5.8,8.8,11,8.4,4.8,2,7.2,11,4,3,3.2
182,13.6,8.4,8.2,11.8,12.8,12,9.2,8.4,5.4,4.2,4.8,7.8,7,6.2,5.2,3,4,7,5,5,3
183,13.4,7.6,11,11.2,12.2,13.4,11.6,9.6,4.6,4,4,9,8.4,8.4,3.8,3,7,7.2,3.2,5,3.2
184,17.8,7.8,12.6,14.4,14.6,13.8,12.4,11.8,4,4.4,5.4,8.6,8.8,8.4,6,3.8,8.2,9,6,5,4
185,16,7.4,9.2,14.8,10.8,13.4,8.8,10.8,3.4,3.2,3.8,7.4,8.2,6.6,5.2,4,6,11,3.4,5.2,2.2
186,18.8,8,13.2,14.6,12.4,8.4,12,12.8,5,6,4.4,7.4,8.4,8.4,6,3,7.2,10.2,5,0,3.6
187,17.6,7.4,15,14.8,11.2,14.2,10.9,12,5,5,6,6.2,8.6,7.1,5.6,2.4,10,8.8,5,5.6,3.8
188,23.8,7,12,14,12.4,15,9,18,5,5,3,7.6,9,7,5.8,2,7,11,4.8,6,2
189,18,6,12.4,17,13.4,14.2,9.4,12,4,4.2,7,8.8,8.2,6.6,6,2,8.2,10,4.6,6,2.8
190,12,6,9.2,9.2,11.6,15.8,9.2,7,4,3.8,4.2,8,10.8,5.6,5,2,5.4,5,3.6,5,3.6
191,13,6.4,10,14,9.8,15.8,9.6,8,4,5,5,6,10.6,5.8,5,2.4,5,9,3.8,5.2,3.8
192,11,8.6,10,15.1,10.4,15.05,10.4,7,6.6,4,5.1,7.2,10.8,6.4,4,2,6,10,3.2,4.25,4
193,14.4,7.6,11.6,16,10,18,10.6,9.4,4.4,4.8,6,6.8,13,6.6,5,3.2,6.8,10,3.2,5,4
194,13.8,6.8,10.8,16,10.2,16.4,10.5,9,4,3.8,5,7.2,10.4,7,4.8,2.8,7,11,3,6,3.5
195,14.4,7.8,10.4,15.2,8.8,15.4,10,9,6,4.2,5.2,6,10,7,5.4,1.8,6.2,10,2.8,5.4,3
196,12.6,7.4,11.6,14,9.2,15.6,8.2,7.6,5.4,4.4,4,6.2,10.8,6,5,2,7.2,10,3,4.8,2.2
197,14.4,6.2,11.4,7.4,8.4,12,9.8,10,3.6,5.8,2.4,6,6,7,4.4,2.6,5.6,5,2.4,6,2.8
198,13,6.2,12,14,7.6,12,10.6,8,3.8,6,5,5.2,8,7.2,5,2.4,6,9,2.4,4,3.4
199,15.4,5,17.6,12.8,8,11,12,8.4,3,9.2,4,5.6,7,8.6,7,2,8.4,8.8,2.4,4,3.4
200,16.4,7,13,16.8,7.2,9.6,12.6,11,4.6,5,6.8,5,6.6,8.8,5.4,2.4,8,10,2.2,3,3.8
201,12.6,7.4,12.2,15.6,7.4,11.5,11.2,5.2,3.6,4.4,5.6,4.4,7.3,7.6,7.4,3.8,7.8,10,3,4.2,3.6
202,15,6,11.2,13.8,7,11,10.2,10,3.8,4,4,4,6,7,5,2.2,7.2,9.8,3,5,3.2
