NP1,Hour,#D,#M,Sol,Lunita,Acerada
185,AM,93,4,6,6,4
186,PM,93,4,3.2,2.8,9.4
187,AM,94,4,6.6,7.4,2.8
188,PM,94,4,2.4,2,8
189,AM,95,4,6,6,3
190,PM,95,4,3,2,9
191,AM,96,4,6,4,3.8
192,PM,96,4,2,2,9
193,AM,97,4,7,6.8,3.8
194,PM,97,4,2,4,9
195,AM,98,4,5,7,5
196,PM,98,4,2,4,9
197,AM,99,4,4.6,7,3.6
198,PM,99,4,3,4,10.2
199,AM,100,4,6,7,5.2
200,PM,100,4,2.8,3.2,9.4
201,AM,101,4,4,9,4.2
202,PM,101,4,5.2,4,9
203,AM,102,4,5,7,4.8
204,PM,102,4,2.6,3,7
205,AM,103,4,4.4,0,4.6
206,PM,103,4,3,2.5,10
207,AM,104,4,4,6.6,4.8
208,PM,104,4,2,8,10.2
209,AM,105,4,4.4,8,4.6
210,PM,105,4,2,4,8.8
211,AM,106,4,6.4,7,4
212,PM,106,4,3,3,9.4
213,AM,107,4,6.4,6,5.2
214,PM,107,4,3,4.2,9.8
215,AM,108,4,4.4,7,3
216,PM,108,4,5,4,10
217,AM,109,4,6,0,4.8
218,PM,109,4,2.6,0,10
219,AM,110,4,6,7,4.8
220,PM,110,4,2.8,2,10
221,AM,111,4,6,6,5
222,PM,111,4,2,3,10
223,AM,112,4,7,5.4,5.2
224,PM,112,4,3,4,10.2
225,AM,113,4,5.2,6,5.6
226,PM,113,4,3,3.6,8
227,AM,114,4,7,5.6,5.4
228,PM,114,4,4,3,9.6
229,AM,115,4,6,6,4.8
230,PM,115,4,3,2,7.8
231,AM,116,4,7,4,4
232,PM,116,4,3.8,2.2,9
233,AM,117,4,4,6.4,4.6
234,PM,117,4,5,3,9
235,AM,118,4,0,4.6,4.8
236,PM,118,4,0,3,9
237,AM,119,4,6.2,5.4,4.2
238,PM,119,4,2.4,2,8.4
239,AM,120,4,4,6.4,4
240,PM,120,4,4,3,7.4
241,AM,121,4,6,4.8,5.8
242,PM,121,4,3,4,8.8
243,AM,122,4,6,6.2,5
244,PM,122,4,3,3,8.8
245,AM,123,5,4,7,4
246,PM,123,5,2,5,8
247,AM,124,5,9.4,8,4.4
248,PM,124,5,1,1,8.4
249,AM,125,5,6,6,3.8
250,PM,125,5,1,2,8.4
251,AM,126,5,8,7,4.2
252,PM,126,5,4,3.4,8
253,AM,127,5,7.2,7,4.6
254,PM,127,5,2.8,3,9.2
255,AM,128,5,6,5,4.2
256,PM,128,5,3,3,7
257,AM,129,5,7.6,7,4
258,PM,129,5,4,0,8.6
259,AM,130,5,5.4,7,4.4
260,PM,130,5,4,2,9
261,AM,131,5,6,6,4.8
262,PM,131,5,3,3,7.8
263,AM,132,5,6.8,5.2,5.4
264,PM,132,5,2.8,4,9
265,AM,133,5,7,6,4
266,PM,133,5,3,3,8.4
267,AM,134,5,4,6,4.2
268,PM,134,5,4.8,3,8
269,AM,135,5,4,8.4,5
270,PM,135,5,2,2,8
271,AM,136,5,3,6.6,4.2
272,PM,136,5,3.8,3,9
273,AM,137,5,4,6,4
274,PM,137,5,4,3.6,8
275,AM,138,5,5,6,5
276,PM,138,5,0,3,9
277,AM,139,5,6.4,4,4.2
278,PM,139,5,8,4,9
279,AM,140,5,7,7.4,4.2
280,PM,140,5,5,2,10
281,AM,141,5,5.6,6.6,3
282,PM,141,5,4,4,9
283,AM,142,5,6.4,6,3.6
284,PM,142,5,3.6,4,9
285,AM,143,5,6,6,4.8
286,PM,143,5,3,4,2.1
287,AM,144,5,7.4,6,5
288,PM,144,5,3,6,8
289,AM,145,5,6.6,7,4.8
290,PM,145,5,3.4,3.2,7
291,AM,146,5,6.6,4.6,5
292,PM,146,5,2.2,9,9.3
293,AM,147,5,6,7.5,4.6
294,PM,147,5,2.6,0,12
295,AM,148,5,7,6.2,4.6
296,PM,148,5,3.6,0,9
297,AM,149,5,7.6,6,4
298,PM,149,5,1.6,0,9
299,AM,150,5,6.6,7,4
300,PM,150,5,2,3.8,8.3
301,AM,151,5,5,6.8,4.6
302,PM,151,5,3.4,3,7
303,AM,152,5,6,6,5.2
304,PM,152,5,3.8,3,8
305,AM,153,5,6,6.6,5.2
306,PM,153,6,4,3.4,9.2
307,AM,154,6,7,6.4,4.2
308,PM,154,6,2,3.6,10
309,AM,155,6,7.3,6.2,4
310,PM,155,6,2.4,2,8.6
311,AM,156,6,5.5,6,3.4
312,PM,156,6,3,3,8.8
313,AM,157,6,4.8,6,3.9
314,PM,157,6,4.4,2.4,8
315,AM,158,6,5.4,6,3.6
316,PM,158,6,4,3,9
317,AM,159,6,6.4,6,3
318,PM,159,6,3.4,2.4,9
319,AM,160,6,6.6,5,2.4
320,PM,160,6,2.4,3,9
321,AM,161,6,8.4,5,2.6
322,PM,161,6,2.6,3,6
323,AM,162,6,5.2,6,3.2
324,PM,162,6,3,2.4,9.2
325,AM,163,6,6.4,5.4,6
326,PM,163,6,3,2.6,8
327,AM,164,6,6,5.6,6
328,PM,164,6,2,2.8,9
329,AM,165,6,8,6.8,6.5
330,PM,165,6,2,2,7
331,AM,166,6,7,7,5
332,PM,166,6,3.2,3,8
333,AM,167,6,6,5.8,4
334,PM,167,6,2.4,3,7.2
335,AM,168,6,4,6,6
336,PM,168,6,4,3,7.2
337,AM,169,6,5.2,6,5
338,PM,169,6,2.8,3,4
339,AM,170,6,5,6.4,7.5
340,PM,170,6,2,3,6.6
341,AM,171,6,6,6,6.2
342,PM,171,6,2,2.8,7.6
343,AM,172,6,6,7,4.4
344,PM,172,6,3,2.7,7.2
345,AM,173,6,6.8,7,5.6
346,PM,173,6,3,3.2,6.6
347,AM,174,6,6,6.4,5
348,PM,174,6,3.8,4,8
349,AM,175,6,7,6,4.6
350,PM,175,6,4,3,6.5
351,AM,176,6,2.6,6,4.85
352,PM,176,6,2.8,3,7
353,AM,177,6,5.4,7,6
354,PM,177,6,2.8,3,6
355,AM,178,6,5.8,6.4,4.8
356,PM,178,6,2,3,7.4
357,AM,179,6,5,6,4.2
358,PM,179,6,2,4,7.4
359,AM,180,6,5.8,7,3
360,PM,180,6,8,3.2,8.6
361,AM,181,6,6,6.8,3.2
362,PM,181,6,3,3.8,7.2
363,AM,182,6,6.4,6.4,4
364,PM,182,6,3,3.2,6.4
365,AM,183,6,6,4,3.8
366,PM,183,6,3.8,3.2,6.2
367,AM,184,7,5.2,5,4.4
368,PM,184,7,3.6,4,7.6
369,AM,185,7,6,5.6,3.8
370,PM,185,7,3,3.8,5.8
371,AM,186,7,6.4,7,5
372,PM,186,7,3,2.8,7
373,AM,187,7,6,7.2,3.4
374,PM,187,7,2.5,3.4,7
375,AM,188,7,6.4,2.4,3.4
376,PM,188,7,3,4,7.2
377,AM,189,7,6,6,2.6
378,PM,189,7,2.2,3.4,7
379,AM,190,7,5.6,7.4,2.8
380,PM,190,7,2.4,3.4,6
381,AM,191,7,5.6,7.6,4
382,PM,191,7,3,3.4,6.4
383,AM,192,7,7.4,5,4.6
384,PM,192,7,3,2.8,7.2
385,AM,193,7,4.8,6,3.6
386,PM,193,7,3.2,3.2,7.2
387,AM,194,7,4,5,4.7
388,PM,194,7,4,3.4,7.4
389,AM,195,7,6,6,4.2
390,PM,195,7,2.6,2,7.6
391,AM,196,7,7,6,4.4
392,PM,196,7,2.4,3,7.4
393,AM,197,7,6,5.8,4
394,PM,197,7,5,2.8,8
395,AM,198,7,5.6,5,6
396,PM,198,7,3.8,2,7
397,AM,199,7,4,6,4.6
398,PM,199,7,3.6,3,8
399,AM,200,7,6.6,3.8,4.6
400,PM,200,7,3.8,3,7.8
401,AM,201,7,4.2,8,4.8
402,PM,201,7,2,3,7.4
403,AM,202,7,4,5.4,4
404,PM,202,7,4,2.2,6.8
405,AM,203,7,5.6,6,4.2
406,PM,203,7,3.8,3.2,7.6
407,AM,204,7,5,7,3.8
408,PM,204,7,2.8,3,8.4
409,AM,205,7,5.8,6,3.6
410,PM,205,7,4,3,8.2
411,AM,206,7,5.4,5.8,4.2
412,PM,206,7,3.2,3,8.8
413,AM,207,7,5.4,7,5.8
414,PM,207,7,3,3,8.6
415,AM,208,7,6,6.8,5.2
416,PM,208,7,2.4,2.8,7.6
417,AM,209,7,5.6,8,4.2
418,PM,209,7,2,2.8,7.8
419,AM,210,7,7,5,5.4
420,PM,210,7,3,2.6,7
421,AM,211,7,5.4,8,2.4
422,PM,211,7,3,2.8,8
423,AM,212,7,6,6,4
424,PM,212,7,3.2,2.4,7.6
