N298,AndreaNET298,PesoAndrea298,PopoAndrea298,GuapaNET298,PesoGuapa298,PopoGuapa298
205,12,422.4867521,42.24867521,12,423.9082445,42.39082445
206,12,422.9527424,42.29527424,11.8,422.8446804,42.28446804
207,16.2,423.4996466,42.34996466,12.5,421.9796011,42.19796011
208,14.2,424.1336051,42.41336051,12.2,421.3033246,42.13033246
209,14.4,424.8607583,42.48607583,13.6,420.8061689,42.08061689
210,13.2,425.6872464,42.56872464,11.8,420.4784522,42.04784522
211,13.4,426.6192099,42.66192099,12,420.3104924,42.03104924
212,13,427.662789,42.7662789,10.6,420.2926076,42.02926076
213,12.8,428.8241242,42.88241242,9.2,420.4151158,42.04151158
214,13.6,430.1075873,43.01075873,10.6,420.6683351,42.06683351
215,13,431.5064554,43.15064554,11.1,421.0425834,42.10425834
216,14,433.0098086,43.30098086,11.8,421.5281789,42.15281789
217,13.2,434.606722,43.4606722,10.6,422.1154395,42.21154395
218,12,436.2862711,43.62862711,11.2,422.7946833,42.27946833
219,11.8,438.0375313,43.80375313,10.4,423.5562284,42.35562284
220,12.4,439.8495778,43.98495778,10.6,424.3903927,42.43903927
221,12.8,441.7114861,44.17114861,10.5,425.2874943,42.52874943
222,10.6,443.6123314,44.36123314,10.8,426.2378512,42.62378512
223,14.4,445.5411892,44.55411892,11.6,427.2317815,42.72317815
224,12.6,447.4871348,44.74871348,11,428.2596194,42.82596194
225,11.4,449.4392436,44.94392436,7.6,429.3136554,42.93136554
226,11.2,451.3865908,45.13865908,9.4,430.3899793,43.03899793
227,11.6,453.3182519,45.33182519,9.8,431.4851177,43.14851177
228,11.4,455.2233022,45.52233022,10.5,432.5955969,43.25955969
229,10,457.0908171,45.70908171,12.2,433.7179433,43.37179433
230,10.6,458.9098719,45.89098719,8.4,434.8486835,43.48486835
231,10.6,460.669542,46.0669542,8.8,435.9843438,43.59843438
232,10.7,462.3589027,46.23589027,8.2,437.1214506,43.71214506
233,12.2,463.9670294,46.39670294,10,438.2565305,43.82565305
234,11,465.4829974,46.54829974,9.4,439.3861097,43.93861097
235,11.8,466.896353,46.6896353,9.7,440.5067149,44.05067149
236,10.4,468.2027068,46.82027068,7.6,441.6148723,44.16148723
237,10.4,469.4018328,46.94018328,10,442.7071084,44.27071084
238,10.8,470.4935829,47.04935829,8.2,443.7799498,44.37799498
239,9.3,471.4778094,47.14778094,6.8,444.8299226,44.48299226
240,9.8,472.3543643,47.23543643,8,445.8535535,44.58535535
241,9.2,473.1230998,47.31230998,8.4,446.8473689,44.68473689
242,9.2,473.783868,47.3783868,8.7,447.8078951,44.78078951
243,9.6,474.3365211,47.43365211,8.7,448.7316587,44.87316587
244,8.8,474.780911,47.4780911,8,449.615186,44.9615186
245,9,475.1168901,47.51168901,7.2,450.4550034,45.04550034
246,9.6,475.3443103,47.53443103,7.4,451.2476375,45.12476375
247,8,475.4630238,47.54630238,7.4,451.9896146,45.19896146
248,9.8,475.4728828,47.54728828,3.4,452.6774612,45.26774612
249,9.6,475.3737393,47.53737393,7.4,453.3079062,45.33079062
250,8,475.1654455,47.51654455,7.2,453.8822945,45.38822945
251,9,474.8478535,47.48478535,7.6,454.4065864,45.44065864
252,10.8,474.4208154,47.44208154,6.8,454.886945,45.4886945
253,7.9,473.8841833,47.38841833,7.4,455.3295332,45.53295332
254,9.4,473.2378094,47.32378094,7.6,455.7405141,45.57405141
255,9.5,472.4815458,47.24815458,6,456.1260507,45.61260507
256,9,471.6152962,47.16152962,6.2,456.492306,45.6492306
257,8.2,470.6407528,47.06407528,6.8,456.845443,45.6845443
258,6.8,469.5617656,46.95617656,6.4,457.1916247,45.71916247
259,6.2,468.3823094,46.83823094,6,457.5370142,45.75370142
260,9.2,467.1063589,46.71063589,7.2,457.8877744,45.78877744
261,7.2,465.737889,46.5737889,6.8,458.2500684,45.82500684
262,6.8,464.2808743,46.42808743,5.2,458.6300591,45.86300591
263,7.6,462.7392898,46.27392898,5.9,459.0339097,45.90339097
264,7.4,461.1171102,46.11171102,5,459.467783,45.9467783
265,7.8,459.4183102,45.94183102,6.2,459.9378422,45.99378422
266,7.4,457.6468647,45.76468647,9.2,460.4502502,46.04502502
267,7.5,455.8067485,45.58067485,5.6,461.01117,46.101117
268,7.2,453.9019363,45.39019363,5,461.6267647,46.16267647
269,7.4,451.9364029,45.19364029,5.2,462.3031973,46.23031973
270,7.4,449.9141231,44.99141231,5.3,463.0466307,46.30466307
271,10.8,447.8390717,44.78390717,5.4,463.863228,46.3863228
272,7.2,445.7152235,44.57152235,4.6,464.7591523,46.47591523
273,7.8,443.5465533,44.35465533,4.4,465.7405664,46.57405664
274,6.9,441.3370358,44.13370358,3.8,466.8129464,46.68129464
275,6.8,439.0906459,43.90906459,4.2,467.9756738,46.79756738
276,6,436.8113583,43.68113583,3.8,469.2250055,46.92250055
277,7.2,434.5031508,43.45031508,4.4,470.5571759,47.05571759
278,7.2,432.1692084,43.21692084,4,471.9684198,47.19684198
279,7.4,429.810943,42.9810943,4,473.4549718,47.34549718
280,6.8,427.4295707,42.74295707,6.4,475.0130663,47.50130663
281,5.6,425.0263076,42.50263076,3.2,476.6389381,47.66389381
282,5.2,422.6023698,42.26023698,4,478.3288217,47.83288217
283,6.2,420.1589737,42.01589737,3.2,480.0789518,48.00789518
284,5.8,417.6973352,41.76973352,3.2,481.8855628,48.18855628
285,6,415.2186705,41.52186705,3.2,483.7448895,48.37448895
286,5.4,412.7241959,41.27241959,2.4,485.6531664,48.56531664
287,6,410.2151274,41.02151274,3.4,487.6066281,48.76066281
288,5,407.6926812,40.76926812,2.8,489.6015092,48.96015092
289,7.2,405.1580734,40.51580734,3.2,491.6340444,49.16340444
290,4.8,402.6125203,40.26125203,3.2,493.7004681,49.37004681
291,4.6,400.057238,40.0057238,5.1,495.7970151,49.57970151
292,4.4,397.4934426,39.74934426,3,497.9199198,49.79199198
293,5.4,394.9223502,39.49223502,3.4,500.065417,50.0065417
294,5.8,392.3451771,39.23451771,4.8,502.2297412,50.22297412
295,3.4,389.7631394,38.97631394,3.4,504.409127,50.4409127
296,5.9,387.1774532,38.71774532,0,506.599809,50.6599809
297,3.4,384.5893347,38.45893347,0,508.7980218,50.87980218
298,3.6,382,38.2,0,511,51.1
