N274,Cen_L274,WCen274,Cen_E274,Dian_L274,WDian274,Dian_E274,Leti_L274,WLeti274,Leti_E274,Mor_L274,WMor274,Mor_E274,Muc_L274,WMuc274,Muc_E274,Sor_L274,WSor274,Sor_E274,Viv_L274,WViv274,Viv_E274
202,11.8,427,21.35,8.2,475,23.75,10.2,391,19.55,10.2,620,31,9,331,16.55,5.4,453,22.65,14.8,498,24.9
203,13.8,427,21.35,10,475,23.75,10.4,391,19.55,9.8,620,31,9.4,331,16.55,5.6,453,22.65,12.8,498,24.9
204,11.6,427,21.35,7.2,475,23.75,10,391,19.55,10.6,620,31,10.2,331,16.55,6.2,453,22.65,13.2,498,24.9
205,15,427,21.35,5.6,475,23.75,10.2,391,19.55,11,620,31,9.4,331,16.55,6,453,22.65,13,498,24.9
206,13.5,427,21.35,9,475,23.75,11.2,391,19.55,12.6,620,31,8.4,331,16.55,6.2,453,22.65,14.6,498,24.9
207,13.8,427,21.35,12.2,475,23.75,10.2,391,19.55,11.2,620,31,8.6,331,16.55,5.2,453,22.65,13.6,498,24.9
208,12,427,21.35,11.3,475,23.75,11.1,391,19.55,10.7,620,31,8.7,331,16.55,5.3,453,22.65,13,498,24.9
209,12.6,427,21.35,9.8,475,23.75,10,391,19.55,10,620,31,8.8,331,16.55,5.6,453,22.65,13.2,498,24.9
210,14.2,427,21.35,10.6,475,23.75,10.4,391,19.55,11.2,620,31,10.4,331,16.55,5.8,453,22.65,15.6,498,24.9
211,11.8,427,21.35,12,475,23.75,10.8,391,19.55,14.2,620,31,9.6,331,16.55,5,453,22.65,14,498,24.9
212,12.6,427,21.35,10.8,475,23.75,10.4,391,19.55,12.8,620,31,7.2,331,16.55,6.8,453,22.65,11.8,498,24.9
213,14.2,427,21.35,6.4,475,23.75,10.2,391,19.55,11.8,620,31,8.2,331,16.55,6,453,22.65,11.2,498,24.9
214,10.5,427,21.35,11.4,475,23.75,11.4,391,19.55,10.8,620,31,9,331,16.55,5.2,453,22.65,11.4,498,24.9
215,13,427,21.35,16.4,475,23.75,9.6,391,19.55,10.9,620,31,9.7,331,16.55,4.7,453,22.65,10.4,498,24.9
216,12.6,427,21.35,10.6,475,23.75,10.6,391,19.55,11,620,31,9,331,16.55,5.2,453,22.65,10.8,498,24.9
217,12,427,21.35,9.6,475,23.75,11.4,391,19.55,11.6,620,31,7.4,331,16.55,5.2,453,22.65,12.8,498,24.9
218,11.6,427,21.35,10,475,23.75,10.6,391,19.55,11.6,620,31,8.8,331,16.55,6,453,22.65,11.8,498,24.9
219,11.8,427,21.35,10.6,475,23.75,10.8,391,19.55,12,620,31,8.6,331,16.55,5.4,453,22.65,11,498,24.9
220,11.5,427,21.35,11.8,475,23.75,10.2,391,19.55,10.6,620,31,8.4,331,16.55,5.6,453,22.65,12.8,498,24.9
221,11.2,427,21.35,9.6,475,23.75,9.4,391,19.55,10,620,31,7.2,331,16.55,5.8,453,22.65,13.2,498,24.9
222,10.4,427,21.35,10.2,475,23.75,10,391,19.55,9.9,620,31,9.8,331,16.55,5.2,453,22.65,12.2,498,24.9
223,10.4,427,21.35,10.8,475,23.75,10.4,391,19.55,11,620,31,7.2,331,16.55,5.2,453,22.65,11.6,498,24.9
224,11.2,427,21.35,6.9,475,23.75,8.8,391,19.55,8.8,620,31,10,331,16.55,5.2,453,22.65,12.4,498,24.9
225,10.2,427,21.35,7.4,475,23.75,14.6,391,19.55,11.4,620,31,10.8,331,16.55,4.4,453,22.65,12.4,498,24.9
226,11.8,427,21.35,10.8,475,23.75,10.8,391,19.55,10.2,620,31,7.4,331,16.55,4.8,453,22.65,11.6,498,24.9
227,13.4,427,21.35,11.4,475,23.75,10.2,391,19.55,12.4,620,31,10,331,16.55,4.8,453,22.65,15.2,498,24.9
228,9.6,427,21.35,11.8,475,23.75,9.6,391,19.55,11.4,620,31,9.4,331,16.55,4.4,453,22.65,10.9,498,24.9
229,9.8,427,21.35,12.4,475,23.75,10,391,19.55,10.8,620,31,8.6,331,16.55,4.4,453,22.65,12,498,24.9
230,7.6,427,21.35,7.8,475,23.75,7.8,391,19.55,10.6,620,31,7,331,16.55,5.4,453,22.65,11.6,498,24.9
231,11.4,427,21.35,8.4,475,23.75,8.6,391,19.55,11.4,620,31,5,331,16.55,4.4,453,22.65,11.8,498,24.9
232,8.6,427,21.35,11.4,475,23.75,11,391,19.55,10.8,620,31,6.4,331,16.55,5.6,453,22.65,15.8,498,24.9
233,12,427,21.35,10.8,475,23.75,11.6,391,19.55,9.4,620,31,6.6,331,16.55,4.4,453,22.65,12.6,498,24.9
234,10,427,21.35,11.8,475,23.75,9,391,19.55,10.4,620,31,7.4,331,16.55,5,453,22.65,12.6,498,24.9
235,9.4,427,21.35,11.8,475,23.75,10.4,391,19.55,10.2,620,31,6.6,331,16.55,5,453,22.65,9.2,498,24.9
236,8.4,427,21.35,10.2,475,23.75,10.3,391,19.55,9.3,620,31,7.9,331,16.55,3.5,453,22.65,12.2,498,24.9
237,10.6,427,21.35,12.8,475,23.75,9.2,391,19.55,11.8,620,31,7.6,331,16.55,4.8,453,22.65,12.6,498,24.9
238,9.6,427,21.35,12,475,23.75,9.8,391,19.55,11.2,620,31,7.6,331,16.55,5.2,453,22.65,12.4,498,24.9
239,9,427,21.35,11.8,475,23.75,10.8,391,19.55,11.4,620,31,8.2,331,16.55,4.4,453,22.65,11.8,498,24.9
240,9,427,21.35,10.6,475,23.75,9.2,391,19.55,10.2,620,31,8.4,331,16.55,4.2,453,22.65,10.6,498,24.9
241,9.2,427,21.35,9.6,475,23.75,10,391,19.55,9.8,620,31,9.2,331,16.55,4.4,453,22.65,12.6,498,24.9
242,8.8,427,21.35,11.4,475,23.75,10.6,391,19.55,9.8,620,31,8.6,331,16.55,4.4,453,22.65,13,498,24.9
243,11,427,21.35,9.8,475,23.75,9.1,391,19.55,8.7,620,31,8.5,331,16.55,4.1,453,22.65,10.6,498,24.9
244,10.2,427,21.35,12.6,475,23.75,9.4,391,19.55,9.4,620,31,8,331,16.55,3.2,453,22.65,8.6,498,24.9
245,9.6,427,21.35,11.6,475,23.75,9.4,391,19.55,9.9,620,31,8.8,331,16.55,5.4,453,22.65,11.4,498,24.9
246,9.4,427,21.35,10.9,475,23.75,10.2,391,19.55,10.6,620,31,9.6,331,16.55,3.8,453,22.65,12.6,498,24.9
247,8.8,427,21.35,9.6,475,23.75,10,391,19.55,9.6,620,31,8.6,331,16.55,3.8,453,22.65,13,498,24.9
248,8,427,21.35,0,475,23.75,4.4,391,19.55,8.6,620,31,10.6,331,16.55,4.4,453,22.65,13,498,24.9
249,11,427,21.35,12.8,475,23.75,10.6,391,19.55,9.2,620,31,8.6,331,16.55,4.6,453,22.65,0,498,24.9
250,11,427,21.35,11.6,475,23.75,9.8,391,19.55,8.9,620,31,8.9,331,16.55,3.4,453,22.65,0,498,24.9
251,9.6,427,21.35,13.6,475,23.75,9,391,19.55,8.6,620,31,8.8,331,16.55,3.6,453,22.65,0,498,24.9
252,13.6,427,21.35,12,475,23.75,9.8,391,19.55,10.4,620,31,9.4,331,16.55,4.8,453,22.65,0,498,24.9
253,9.4,427,21.35,15,475,23.75,10,391,19.55,10.2,620,31,12.2,331,16.55,3.4,453,22.65,0,498,24.9
254,9.2,427,21.35,9.4,475,23.75,9.2,391,19.55,8.4,620,31,11.6,331,16.55,4.2,453,22.65,0,498,24.9
255,9.8,427,21.35,10.6,475,23.75,11.8,391,19.55,10,620,31,9.4,331,16.55,3.2,453,22.65,0,498,24.9
256,9.6,427,21.35,8.2,475,23.75,11.2,391,19.55,9.6,620,31,9.8,331,16.55,3,453,22.65,0,498,24.9
257,9.6,427,21.35,9.6,475,23.75,8.6,391,19.55,8.2,620,31,0,331,16.55,3.2,453,22.65,0,498,24.9
258,12,427,21.35,10.4,475,23.75,9.8,391,19.55,0,620,31,0,331,16.55,2,453,22.65,0,498,24.9
259,8.4,427,21.35,11,475,23.75,8.4,391,19.55,0,620,31,0,331,16.55,2.4,453,22.65,0,498,24.9
260,7,427,21.35,5.6,475,23.75,9.4,391,19.55,0,620,31,0,331,16.55,2,453,22.65,0,498,24.9
261,6.8,427,21.35,6,475,23.75,0,391,19.55,0,620,31,0,331,16.55,4,453,22.65,0,498,24.9
262,8.3,427,21.35,12,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3.4,453,22.65,0,498,24.9
263,8.7,427,21.35,12.2,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3.6,453,22.65,0,498,24.9
264,5.8,427,21.35,11,475,23.75,0,391,19.55,0,620,31,0,331,16.55,1.9,453,22.65,0,498,24.9
265,7.4,427,21.35,10.4,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3,453,22.65,0,498,24.9
266,2.6,427,21.35,5.6,475,23.75,0,391,19.55,0,620,31,0,331,16.55,2.8,453,22.65,0,498,24.9
267,0,427,21.35,10.3,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3.8,453,22.65,0,498,24.9
268,0,427,21.35,10.6,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3.2,453,22.65,0,498,24.9
269,0,427,21.35,10.8,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3,453,22.65,0,498,24.9
270,0,427,21.35,0,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3,453,22.65,0,498,24.9
271,0,427,21.35,0,475,23.75,0,391,19.55,0,620,31,0,331,16.55,1.9,453,22.65,0,498,24.9
272,0,427,21.35,0,475,23.75,0,391,19.55,0,620,31,0,331,16.55,3.4,453,22.65,0,498,24.9
273,0,427,21.35,0,475,23.75,0,391,19.55,0,620,31,0,331,16.55,2.2,453,22.65,0,498,24.9
274,0,427,21.35,0,475,23.75,0,391,19.55,0,620,31,0,331,16.55,2.8,453,22.65,0,498,24.9
